Year,mát,Value
1998,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",73.75011820011619
1999,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",82.43294775645101
2000,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",93.08337970691889
2001,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",86.3700850186917
2002,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",79.73575721452339
2003,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",87.32906825141751
2004,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",70.89188247590289
2005,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",75.3861461195869
2006,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",70.9201830198271
2007,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",75.2444454916005
2008,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",73.7279122714417
2009,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",67.6892329940125
2010,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",69.3584053926278
2011,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",79.63516346282499
2012,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",86.82243323020019
2013,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",82.34106628718929
2014,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",76.3194903025412
2015,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",75.3681353583184
2016,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",77.2797837175656
2017,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",81.22071453981809
2018,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",77.8289329916364
2019,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",80.76638834443409
2020,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",76.6114672364672
2021,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",83.4054256346879
2022,"Vøruhandil við umheimin, ársins prísir (% av BTÚ)",97.8984433060571
1998,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),4.26601105002229
1999,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),4.31041057582306
2000,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),3.90697458727509
2001,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),3.24437954994978
2002,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),2.96726766999454
2003,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),3.44440738607077
2004,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),2.85390779235861
2005,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),3.66246564957832
2006,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),3.57872102811138
2007,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),3.81688382065358
2008,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),4.51720144638679
2009,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),5.25473437918904
2010,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),5.37813972640344
2011,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),6.11926319075866
2012,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),6.49098474341193
2013,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),6.69424496144554
2014,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),6.30701690023724
2015,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),5.96177166945776
2016,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),5.64520387365219
2017,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),5.19794684149006
2018,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),5.16965651508831
2019,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),4.77891054977439
2020,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),4.44219523166892
2021,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),4.12536227469343
2022,Fingnar veitingar (reiðupeningur ella feingi) (% av BTÚ),3.91498392436303
1998,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),19.3942750618018
1999,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),14.8328460658447
2000,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),9.27239844184752
2001,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),12.5394803607858
2002,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),10.0759946356728
2003,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),-3.49898426366696
2004,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),5.25393876050014
2005,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),-5.68748223254051
2006,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),-3.11450407127439
2007,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),-3.44304910900109
2008,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),-4.74802461063362
2009,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),-5.66988114291286
2010,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),4.03608302450778
2011,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),12.0378216850274
2012,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),-1.31299121590384
2013,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),7.71287685739815
2014,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),9.31897669185805
2015,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),8.50262747589074
2016,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),12.6368926297114
2017,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),14.8056106113737
2018,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),5.98863658938753
2019,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),10.1361927538294
2020,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),6.51006522717049
2021,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),6.14452693234928
2022,Rakstrarviðskifti gjaldsjavnans (% av BTÚ),5.06630951860521
2003,"Uttanlandsskuld, brutto (% av BTI)",61.5461866968273
2004,"Uttanlandsskuld, brutto (% av BTI)",59.75203915171289
2005,"Uttanlandsskuld, brutto (% av BTI)",75.2482139586005
2006,"Uttanlandsskuld, brutto (% av BTI)",84.23552752552541
2007,"Uttanlandsskuld, brutto (% av BTI)",107.94207852053
2008,"Uttanlandsskuld, brutto (% av BTI)",118.353637530926
2009,"Uttanlandsskuld, brutto (% av BTI)",140.353093726103
2010,"Uttanlandsskuld, brutto (% av BTI)",144.096414564561
2011,"Uttanlandsskuld, brutto (% av BTI)",127.917424851537
2012,"Uttanlandsskuld, brutto (% av BTI)",131.256127160986
2013,"Uttanlandsskuld, brutto (% av BTI)",133.704043079318
2014,"Uttanlandsskuld, brutto (% av BTI)",131.212965367454
2015,"Uttanlandsskuld, brutto (% av BTI)",133.202516628527
2016,"Uttanlandsskuld, brutto (% av BTI)",119.31500359157
