Year,Kyn,Value
1986,,0.0435161009573542
1986,Menn,0.0832379565081677
1986,Kvinnur,0.0
1987,,0.0429525588986964
1987,Menn,0.0821456442272148
1987,Kvinnur,0.0
1988,,0.0211729832733432
1988,Menn,0.0405005872585152
1988,Kvinnur,0.0
1989,,0.0209757939338004
1989,Menn,0.040163868583822
1989,Kvinnur,0.0
1990,,0.0630808696749233
1990,Menn,0.0806744383042233
1990,Kvinnur,0.0439232222075812
1991,,0.0
1991,Menn,0.0
1991,Kvinnur,0.0
1992,,0.0
1992,Menn,0.0
1992,Kvinnur,0.0
1993,,0.0869650291876379
1993,Menn,0.125741350042962
1993,Kvinnur,0.0451732393729954
1994,,0.0224976939863664
1994,Menn,0.0434518119405579
1994,Kvinnur,0.0
1995,,0.0
1995,Menn,0.0
1995,Kvinnur,0.0
1996,,0.0229713432492965
1996,Menn,0.0445126972468897
1996,Kvinnur,0.0
1997,,0.0
1997,Menn,0.0
1997,Kvinnur,0.0
1998,,0.0
1998,Menn,0.0
1998,Kvinnur,0.0
1999,,0.0
1999,Menn,0.0
1999,Kvinnur,0.0
2000,,0.0218653314237611
2000,Menn,0.0422582826233942
2000,Kvinnur,0.0
2001,,0.0
2001,Menn,0.0
2001,Kvinnur,0.0
2002,,0.0
2002,Menn,0.0
2002,Kvinnur,0.0
2003,,0.0208781343299163
2003,Menn,0.0402422583955412
2003,Kvinnur,0.0
2004,,0.041474415469957
2004,Menn,0.0
2004,Kvinnur,0.0862831381177333
2005,,0.0
2005,Menn,0.0
2005,Kvinnur,0.0
2006,,0.0
2006,Menn,0.0
2006,Kvinnur,0.0
2007,,0.0
2007,Menn,0.0
2007,Kvinnur,0.0
2008,,0.0
2008,Menn,0.0
2008,Kvinnur,0.0
2009,,0.0
2009,Menn,0.0
2009,Kvinnur,0.0
2010,,0.0
2010,Menn,0.0
2010,Kvinnur,0.0
2011,,0.0207020049891832
2011,Menn,0.0
2011,Kvinnur,0.0430496362305739
2012,,0.0
2012,Menn,0.0
2012,Kvinnur,0.0
2013,,0.0
2013,Menn,0.0
2013,Kvinnur,0.0
2014,,0.0
2014,Menn,0.0
2014,Kvinnur,0.0
2015,,0.0
2015,Menn,0.0
2015,Kvinnur,0.0
2016,,0.0202261281122955
2016,Menn,0.0391818822976256
2016,Kvinnur,0.0
2017,,0.0
2017,Menn,0.0
2017,Kvinnur,0.0
2018,,0.0
2018,Menn,0.0
2018,Kvinnur,0.0
2019,,0.0
2019,Menn,0.0
2019,Kvinnur,0.0
2020,,0.0
2020,Menn,0.0
2020,Kvinnur,0.0
2021,,0.0375840944112452
2021,Menn,0.036291712787385
2021,Kvinnur,0.0389719207311132
