Year,eind,Series,kyn,sjúkubólkur,Kyn,Sjúkubólkur,Value
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,274.03516784654
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,74.7368639581474
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,141.169631920945
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,29.064335983724
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Kroniskar sjúkur í andaleiðini,,,29.064335983724
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Tilsamans,,,321.56862745098
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Hjarta-æðra-sjúkur,,,86.2745098039216
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Krabbamein,,,196.078431372549
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Sukursjúka,,,15.6862745098039
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Menn,Kroniskar sjúkur í andaleiðini,,,23.5294117647059
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Tilsamans,,,220.565530018969
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Hjarta-æðra-sjúkur,,,61.7583484053112
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Krabbamein,,,79.4035908068287
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Sukursjúka,,,44.1131060037937
2009,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",Kvinnur,Kroniskar sjúkur í andaleiðini,,,35.290484803035
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Tilsamans,,,210.905030705291
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Hjarta-æðra-sjúkur,,,57.8954986249819
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Krabbamein,,,144.738746562455
2010,Í tali,"Deyð av hjarta-æðra-sjúkum, krabbameini, sukursjúku og koroniskum sjúkum í andaleiðini fyri hvørjar 100.000 íbúgvar",,Sukursjúka,,,4.13539275892728
