Year,eind,Series,Value
2007,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,2.0708435581234
2008,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,4.12694482274772
2009,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,0.0
2010,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,14.4417738624524
2011,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,2.06930088669543
2012,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,6.23273014356055
2013,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,6.23603388245076
2014,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,0.0
2015,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,4.09257402443267
2016,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,4.04322204364658
2017,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,3.98863239766665
2018,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,5.89651614171294
2019,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,1.93455403693064
2020,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,7.61912018209697
2021,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar,3.75414128710734
2007,,,2.1
2008,,,4.1
2009,,,0.0
2010,,,14.4
2011,,,2.1
2012,,,6.2
2013,,,6.2
2014,,,0.0
2015,,,4.1
2016,,,4.0
2017,,,4.0
2018,,,5.9
2019,,,1.9
2020,,,7.6
2021,,,3.8
