Year,Kyn,Value
2003,,41
2003,Menn,..
2003,Kvinnur,..
2004,,36
2004,Menn,..
2004,Kvinnur,..
2005,,32
2005,Menn,..
2005,Kvinnur,..
2006,,33
2006,Menn,31
2006,Kvinnur,34
2007,,28
2007,Menn,26
2007,Kvinnur,31
2008,,33
2008,Menn,37
2008,Kvinnur,28
2009,,34
2009,Menn,36
2009,Kvinnur,32
2010,,27
2010,Menn,25
2010,Kvinnur,29
2011,,34
2011,Menn,36
2011,Kvinnur,32
2012,,29
2012,Menn,28
2012,Kvinnur,31
2013,,33
2013,Menn,33
2013,Kvinnur,32
2014,,27
2014,Menn,30
2014,Kvinnur,23
2015,,27
2015,Menn,26
2015,Kvinnur,29
2016,,34
2016,Menn,38
2016,Kvinnur,29
2017,,27
2017,Menn,27
2017,Kvinnur,26
2018,,26
2018,Menn,29
2018,Kvinnur,21
2019,,29
2019,Menn,30
2019,Kvinnur,28
2020,,31
2020,Menn,33
2020,Kvinnur,28
