Year,Series,Units,starv,Value
2010,Býti og tættleiki,Ársverk,Læknar,116.9
2010,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",629.8
2010,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,62.0
2010,Býti og tættleiki,Ársverk,Tannlæknar,39.0
2011,Býti og tættleiki,Ársverk,Læknar,117.5
2011,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",625.8
2011,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,56.0
2011,Býti og tættleiki,Ársverk,Tannlæknar,39.0
2012,Býti og tættleiki,Ársverk,Læknar,121.4
2012,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",627.1
2012,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,58.0
2012,Býti og tættleiki,Ársverk,Tannlæknar,44.0
2013,Býti og tættleiki,Ársverk,Læknar,127.0
2013,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",621.9
2013,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,57.7
2013,Býti og tættleiki,Ársverk,Tannlæknar,44.0
2014,Býti og tættleiki,Ársverk,Læknar,130.1
2014,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",613.3
2014,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,61.0
2014,Býti og tættleiki,Ársverk,Tannlæknar,46.0
2015,Býti og tættleiki,Ársverk,Læknar,135.9
2015,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",631.8
2015,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,64.7
2016,Býti og tættleiki,Ársverk,Læknar,139.1
2016,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",653.6
2016,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,63.7
2017,Býti og tættleiki,Ársverk,Læknar,137.0
2017,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",642.2
2017,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,68.9
2018,Býti og tættleiki,Ársverk,Læknar,149.1
2018,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",681.6
2018,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,65.6
2019,Býti og tættleiki,Ársverk,Læknar,154.4
2019,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",689.0
2019,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,69.1
2020,Býti og tættleiki,Ársverk,Læknar,158.6
2020,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",688.0
2020,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,66.7
2020,Býti og tættleiki,Ársverk,Tannlæknar,51.0
2021,Býti og tættleiki,Ársverk,Læknar,169.3
2021,Býti og tættleiki,Ársverk,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",711.7
2021,Býti og tættleiki,Ársverk,Heiliráðfrøðingar,67.8
2021,Býti og tættleiki,Ársverk,Tannlæknar,51.0
2010,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,24.1239836559495
2010,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",129.968219901771
2010,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,12.7945850014446
2010,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Tannlæknar,8.0482066944571
2011,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,24.3256112456783
2011,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",129.557170362089
2011,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,11.5934828064509
2011,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Tannlæknar,8.0740326687783
2012,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,25.2385605288871
2012,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",130.371509947818
2012,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,12.0579613729444
2012,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Tannlæknar,9.1474189725785
2013,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,26.4178809531239
2013,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",129.364410746045
2013,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,12.0024545747657
2013,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Tannlæknar,9.1526516687988
2014,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,26.9051804363561
2014,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",126.832799090063
2014,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,12.6150346396443
2014,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Tannlæknar,9.5129769413711
2015,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,27.8238437442418
2015,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,"Ljósmøður, sjúkrarøktar- og heilsustarvsfólk",129.353233830846
2015,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Heiliráðfrøðingar,13.2465245787523
2016,Býti og tættleiki,Fyri hvørjar 10.000 íbúgvar,Læknar,28.1351132686084
