Year,Units,Series,kyn,Value
2015,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",,92.571428571429
2015,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Menn,92.91553133515
2015,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Kvinnur,92.192192192192
2016,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",,93.082706766917
2016,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Menn,91.168091168091
2016,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Kvinnur,95.222929936306
2017,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",,101.144492131617
2017,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Menn,106.779661016949
2017,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Kvinnur,95.36231884058
2019,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",,99.572039942939
2019,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Menn,95.135135135135
2019,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Kvinnur,104.531722054381
2020,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",,96.148555708391
2020,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Menn,95.800524934383
2020,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Kvinnur,96.531791907514
2021,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",,99.588477366255
2021,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Menn,96.961325966851
2021,%,"Prosentpartur av 6 ára gomlum, ið luttaka í skipaðari frálæru",Kvinnur,102.179836512262
