Year,Aldur,Value
1985,15-17 ár,0.470035252643948
1985,yngri enn 15 ár,0.0
1986,15-17 ár,0.510493477027794
1986,yngri enn 15 ár,0.0
1987,15-17 ár,0.435492651061513
1987,yngri enn 15 ár,0.0
1988,15-17 ár,0.261917234154007
1988,yngri enn 15 ár,0.0
1989,15-17 ár,0.203148806500762
1989,yngri enn 15 ár,0.0
1990,15-17 ár,0.367068694284216
1990,yngri enn 15 ár,0.0
1991,15-17 ár,0.345622119815668
1991,yngri enn 15 ár,0.0
1992,15-17 ár,0.181708055723804
1992,yngri enn 15 ár,0.0
1993,15-17 ár,0.344115622849277
1993,yngri enn 15 ár,0.0
1994,15-17 ár,0.40950040950041
1994,yngri enn 15 ár,0.0
1995,15-17 ár,0.268336314847943
1995,yngri enn 15 ár,0.0
1996,15-17 ár,0.434404865334492
1996,yngri enn 15 ár,0.0
1997,15-17 ár,0.327064595257563
1997,yngri enn 15 ár,0.0
1998,15-17 ár,0.3147128245476
1998,yngri enn 15 ár,0.0
1999,15-17 ár,0.23094688221709
1999,yngri enn 15 ár,0.0
2000,15-17 ár,0.153727901614143
2000,yngri enn 15 ár,0.0
2001,15-17 ár,0.0748502994011976
2001,yngri enn 15 ár,0.0
2002,15-17 ár,0.145666423889294
2002,yngri enn 15 ár,0.0
2003,15-17 ár,0.0719942404607631
2003,yngri enn 15 ár,0.0
2004,15-17 ár,0.0745712155108128
2004,yngri enn 15 ár,0.0
2005,15-17 ár,0.0
2005,yngri enn 15 ár,0.0
2006,15-17 ár,0.0
2006,yngri enn 15 ár,0.0
2007,15-17 ár,0.0
2007,yngri enn 15 ár,0.0
2008,15-17 ár,0.0
2008,yngri enn 15 ár,0.0
2009,15-17 ár,0.0
2009,yngri enn 15 ár,0.0
2010,15-17 ár,0.0
2010,yngri enn 15 ár,0.0
2011,15-17 ár,0.0
2011,yngri enn 15 ár,0.0
2012,15-17 ár,0.0
2012,yngri enn 15 ár,0.0
2013,15-17 ár,0.0
2013,yngri enn 15 ár,0.0
2014,15-17 ár,0.0
2014,yngri enn 15 ár,0.0
2015,15-17 ár,0.0
2015,yngri enn 15 ár,0.0
2016,15-17 ár,0.0
2016,yngri enn 15 ár,0.0
2017,15-17 ár,0.0722543352601156
2017,yngri enn 15 ár,0.0
2018,15-17 ár,0.0732064421669107
2018,yngri enn 15 ár,0.0
2019,15-17 ár,0.0749063670411985
2019,yngri enn 15 ár,0.0
2020,15-17 ár,0.141143260409315
2020,yngri enn 15 ár,0.0
2021,15-17 ár,0.139664804469274
2021,yngri enn 15 ár,0.0
2022,15-17 ár,0.0712758374910905
2022,yngri enn 15 ár,0.0
2023,15-17 ár,0.0700280112044818
2023,yngri enn 15 ár,0.0
