Year,Series,flokkur,eind,Value
1984,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,3.1
1984,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,1.0
1984,Løgting,Allir flokkar,Tal av sætum,32.0
1988,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,9.4
1988,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,3.0
1988,Løgting,Allir flokkar,Tal av sætum,32.0
1990,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,9.4
1990,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,3.0
1990,Løgting,Allir flokkar,Tal av sætum,32.0
1992,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,
1992,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,
1992,Løgting,Allir flokkar,Tal av sætum,
1994,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,15.6
1994,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,5.0
1994,Løgting,Allir flokkar,Tal av sætum,32.0
1996,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,
1996,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,
1996,Løgting,Allir flokkar,Tal av sætum,
1998,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,12.5
1998,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,4.0
1998,Løgting,Allir flokkar,Tal av sætum,32.0
2000,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,
2000,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,
2000,Løgting,Allir flokkar,Tal av sætum,
2002,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,12.5
2002,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,4.0
2002,Løgting,Allir flokkar,Tal av sætum,32.0
2004,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,9.4
2004,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,3.0
2004,Løgting,Allir flokkar,Tal av sætum,32.0
2008,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,21.2
2008,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,7.0
2008,Løgting,Allir flokkar,Tal av sætum,33.0
2011,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,30.3
2011,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,10.0
2011,Løgting,Allir flokkar,Tal av sætum,33.0
2012,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,
2012,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,
2012,Løgting,Allir flokkar,Tal av sætum,
2015,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,30.3
2015,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,10.0
2015,Løgting,Allir flokkar,Tal av sætum,33.0
2016,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,
2016,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,
2016,Løgting,Allir flokkar,Tal av sætum,
2019,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,24.2
2019,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,8.0
2019,Løgting,Allir flokkar,Tal av sætum,33.0
2020,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,
2020,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,
2020,Løgting,Allir flokkar,Tal av sætum,
2022,Løgting,Allir flokkar,Partur av sætum hjá kvinnum,30.3
2022,Løgting,Allir flokkar,Tal av sætum hjá kvinnum,10.0
2022,Løgting,Allir flokkar,Tal av sætum,33.0
1984,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
1984,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
1984,Løgting,Fólkaflokkurin,Tal av sætum,7.0
1988,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
1988,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
1988,Løgting,Fólkaflokkurin,Tal av sætum,8.0
1990,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
1990,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
1990,Løgting,Fólkaflokkurin,Tal av sætum,7.0
1992,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,
1992,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,
1992,Løgting,Fólkaflokkurin,Tal av sætum,
1994,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
1994,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
1994,Løgting,Fólkaflokkurin,Tal av sætum,6.0
1996,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,
1996,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,
1996,Løgting,Fólkaflokkurin,Tal av sætum,
1998,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
1998,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
1998,Løgting,Fólkaflokkurin,Tal av sætum,8.0
2000,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,
2000,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,
2000,Løgting,Fólkaflokkurin,Tal av sætum,
2002,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
2002,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
2002,Løgting,Fólkaflokkurin,Tal av sætum,7.0
2004,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,0.0
2004,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,0.0
2004,Løgting,Fólkaflokkurin,Tal av sætum,7.0
2008,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,14.3
2008,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,1.0
2008,Løgting,Fólkaflokkurin,Tal av sætum,7.0
2011,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,25.0
2011,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,2.0
2011,Løgting,Fólkaflokkurin,Tal av sætum,8.0
2012,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,
2012,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,
2012,Løgting,Fólkaflokkurin,Tal av sætum,
2015,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,33.3
2015,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,2.0
2015,Løgting,Fólkaflokkurin,Tal av sætum,6.0
2016,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,
2016,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,
2016,Løgting,Fólkaflokkurin,Tal av sætum,
2019,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,12.5
2019,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,1.0
2019,Løgting,Fólkaflokkurin,Tal av sætum,8.0
2020,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,
2020,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,
2020,Løgting,Fólkaflokkurin,Tal av sætum,
2022,Løgting,Fólkaflokkurin,Partur av sætum hjá kvinnum,16.7
2022,Løgting,Fólkaflokkurin,Tal av sætum hjá kvinnum,1.0
2022,Løgting,Fólkaflokkurin,Tal av sætum,6.0
1984,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,0.0
1984,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,0.0
1984,Løgting,Framburðsflokkurin,Tal av sætum,2.0
1988,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
1988,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
1988,Løgting,Framburðsflokkurin,Tal av sætum,
1990,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
1990,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
1990,Løgting,Framburðsflokkurin,Tal av sætum,
1992,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
1992,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
1992,Løgting,Framburðsflokkurin,Tal av sætum,
1994,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
1994,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
1994,Løgting,Framburðsflokkurin,Tal av sætum,
1996,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
1996,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
1996,Løgting,Framburðsflokkurin,Tal av sætum,
1998,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
1998,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
1998,Løgting,Framburðsflokkurin,Tal av sætum,
2000,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2000,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2000,Løgting,Framburðsflokkurin,Tal av sætum,
2002,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2002,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2002,Løgting,Framburðsflokkurin,Tal av sætum,
2004,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2004,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2004,Løgting,Framburðsflokkurin,Tal av sætum,
2008,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2008,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2008,Løgting,Framburðsflokkurin,Tal av sætum,
2011,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2011,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2011,Løgting,Framburðsflokkurin,Tal av sætum,
2012,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2012,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2012,Løgting,Framburðsflokkurin,Tal av sætum,
2015,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2015,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2015,Løgting,Framburðsflokkurin,Tal av sætum,
2016,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2016,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2016,Løgting,Framburðsflokkurin,Tal av sætum,
2019,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2019,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2019,Løgting,Framburðsflokkurin,Tal av sætum,
2020,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2020,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2020,Løgting,Framburðsflokkurin,Tal av sætum,
2022,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2022,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2022,Løgting,Framburðsflokkurin,Tal av sætum,
