Year,Units,Series,Value
2007,1.000 kr.,"Heimsmálini, ávísi 6.a.1",0.0
2008,1.000 kr.,"Heimsmálini, ávísi 6.a.1",0.0
2009,1.000 kr.,"Heimsmálini, ávísi 6.a.1",0.0
2010,1.000 kr.,"Heimsmálini, ávísi 6.a.1",1058.6
2011,1.000 kr.,"Heimsmálini, ávísi 6.a.1",711.227
2012,1.000 kr.,"Heimsmálini, ávísi 6.a.1",425.0
2013,1.000 kr.,"Heimsmálini, ávísi 6.a.1",645.61
2014,1.000 kr.,"Heimsmálini, ávísi 6.a.1",628.0
2020,1.000 kr.,"Heimsmálini, ávísi 6.a.1",68.533
2021,1.000 kr.,"Heimsmálini, ávísi 6.a.1",248.536
