Year,Slag av tilfari,Mát,Value
1998,Tilsamans,Innlendis tilfarsnýtsla,886.7
1998,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,19.9
1998,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,118.8
1998,Biomassi,Innlendis tilfarsnýtsla,357.4
1998,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,8.0
1998,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,47.9
1998,Metalmálmur,Innlendis tilfarsnýtsla,2.6
1998,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
1998,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.4
1998,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,287.8
1998,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,6.5
1998,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,38.6
1998,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,238.8
1998,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,5.4
1998,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,32.0
1999,Tilsamans,Innlendis tilfarsnýtsla,933.9
1999,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,20.7
1999,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,118.3
1999,Biomassi,Innlendis tilfarsnýtsla,364.7
1999,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,8.1
1999,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,46.2
1999,Metalmálmur,Innlendis tilfarsnýtsla,3.8
1999,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
1999,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.5
1999,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,311.0
1999,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,6.9
1999,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,39.4
1999,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,254.3
1999,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,5.6
1999,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,32.2
2000,Tilsamans,Innlendis tilfarsnýtsla,1161.3
2000,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,25.4
2000,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,134.5
2000,Biomassi,Innlendis tilfarsnýtsla,430.5
2000,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,9.4
2000,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,49.9
2000,Metalmálmur,Innlendis tilfarsnýtsla,5.5
2000,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
