Year,slag av tilfari,Units,Series,Slag av tilfari,Value
1998,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,886.6662
1998,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,19.9286658275645
1998,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,119.776054682751
1998,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,357.438
1998,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,8.03375887800054
1998,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,48.28481499993249
1998,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,2.6467
1998,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.059487098804279
1998,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.357531711402596
1998,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,287.7992
1998,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,6.46856064011508
1998,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,38.87759871398271
1998,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,234.7984
1998,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,5.27731727052054
1998,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,31.7179407513475
1999,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,933.8584
1999,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,20.7289161172893
1999,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,118.705783653235
