Year,Series,kyn,aldur,Units,Value
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,2.9
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,3.2
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,2.5
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,1.5
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,0.9
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,1.5
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,1.3
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,1.9
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,1.5
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,1.4
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,,%,1.0
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,8.7
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,9.6
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,7.4
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,4.5
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,1.9
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,3.5
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,3.9
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,8.8
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,5.7
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,4.7
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 15 - 24,%,2.2
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,1.8
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,2.0
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,1.7
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,0.9
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,0.7
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,1.1
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,0.8
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,0.5
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,0.8
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,0.8
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 25 - 54,%,0.9
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,1.6
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,1.8
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,1.1
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,0.8
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,0.6
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,0.9
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,0.7
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,0.4
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,0.4
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,0.5
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",,Aldur 55 - 74,%,0.6
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,2.7
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,3.3
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,2.7
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,1.4
2019,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,0.9
2020,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,1.4
2021,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,1.1
2022,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,1.8
2023,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,1.5
2024,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,1.2
2025,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,,%,0.9
2015,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,7.7
2016,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,9.3
2017,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,7.1
2018,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",Kvinnur,Aldur 15 - 24,%,3.0
