Year,Units,data.outcome,Kyn,Value
2009,data.persons,data.lethal,,1
2009,data.persons,data.lethal,Menn,1
2009,data.persons,data.lethal,Kvinnur,-
2009,data.persons,data.non-lethal,,140
2009,data.persons,data.non-lethal,Menn,72
2009,data.persons,data.non-lethal,Kvinnur,68
2009,data.pr.100.000,data.lethal,,3.6
2009,data.pr.100.000,data.lethal,Menn,6.7
2009,data.pr.100.000,data.lethal,Kvinnur,-
2009,data.pr.100.000,data.non-lethal,,510.6
2009,data.pr.100.000,data.non-lethal,Menn,485.4
2009,data.pr.100.000,data.non-lethal,Kvinnur,540.3
2010,data.persons,data.lethal,,-
2010,data.persons,data.lethal,Menn,-
2010,data.persons,data.lethal,Kvinnur,-
2010,data.persons,data.non-lethal,,83
2010,data.persons,data.non-lethal,Menn,41
2010,data.persons,data.non-lethal,Kvinnur,42
2010,data.pr.100.000,data.lethal,,-
2010,data.pr.100.000,data.lethal,Menn,-
2010,data.pr.100.000,data.lethal,Kvinnur,-
2010,data.pr.100.000,data.non-lethal,,314.5
2010,data.pr.100.000,data.non-lethal,Menn,276.3
2010,data.pr.100.000,data.non-lethal,Kvinnur,363.7
2011,data.persons,data.lethal,,-
2011,data.persons,data.lethal,Menn,-
2011,data.persons,data.lethal,Kvinnur,-
2011,data.persons,data.non-lethal,,127
2011,data.persons,data.non-lethal,Menn,65
2011,data.persons,data.non-lethal,Kvinnur,62
2011,data.pr.100.000,data.lethal,,-
2011,data.pr.100.000,data.lethal,Menn,-
2011,data.pr.100.000,data.lethal,Kvinnur,-
2011,data.pr.100.000,data.non-lethal,,497.5
2011,data.pr.100.000,data.non-lethal,Menn,469.4
2011,data.pr.100.000,data.non-lethal,Kvinnur,530.7
2012,data.persons,data.lethal,,1
2012,data.persons,data.lethal,Menn,1
2012,data.persons,data.lethal,Kvinnur,-
2012,data.persons,data.non-lethal,,126
2012,data.persons,data.non-lethal,Menn,69
2012,data.persons,data.non-lethal,Kvinnur,57
2012,data.pr.100.000,data.lethal,,3.6
2012,data.pr.100.000,data.lethal,Menn,6.7
2012,data.pr.100.000,data.lethal,Kvinnur,-
2012,data.pr.100.000,data.non-lethal,,453.4
2012,data.pr.100.000,data.non-lethal,Menn,464.1
2012,data.pr.100.000,data.non-lethal,Kvinnur,441.2
2013,data.persons,data.lethal,,1
2013,data.persons,data.lethal,Menn,1
2013,data.persons,data.lethal,Kvinnur,-
2013,data.persons,data.non-lethal,,144
2013,data.persons,data.non-lethal,Menn,68
2013,data.persons,data.non-lethal,Kvinnur,76
2013,data.pr.100.000,data.lethal,,3.6
2013,data.pr.100.000,data.lethal,Menn,6.6
2013,data.pr.100.000,data.lethal,Kvinnur,-
2013,data.pr.100.000,data.non-lethal,,525.5
