Year,Units,Series,Value
2015,%,3G fartelefonnet ella betri,96.0
2015,%,4G fartelefonnet ella betri,58.0
2016,%,3G fartelefonnet ella betri,98.0
2016,%,4G fartelefonnet ella betri,98.0
2017,%,3G fartelefonnet ella betri,99.99
2017,%,4G fartelefonnet ella betri,99.99
2018,%,3G fartelefonnet ella betri,99.99
2018,%,4G fartelefonnet ella betri,99.99
2019,%,3G fartelefonnet ella betri,99.99
2019,%,4G fartelefonnet ella betri,99.99
2020,%,3G fartelefonnet ella betri,100.0
2020,%,4G fartelefonnet ella betri,99.99
2021,%,3G fartelefonnet ella betri,100.0
2021,%,4G fartelefonnet ella betri,100.0
