Year,Kyn,date.age,Value
,,,4.0
,,Eysturoyar region,R42003.5
,,Norðoya region,R41005.5
,,Sandoyar region,R45006.7
,,"Streymoyar region, north",R43004.2
,,"Streymoyar region, south",R47002.9
,,Suðuroyar region,R46006.9
,,Vága region,R44004.4
,00-17 ár,,5.1
,00-17 ár,Eysturoyar region,R42003.6
,00-17 ár,Norðoya region,R41009.1
,00-17 ár,Sandoyar region,R45008
,00-17 ár,"Streymoyar region, north",R43006.6
,00-17 ár,"Streymoyar region, south",R47002.9
,00-17 ár,Suðuroyar region,R460011
,00-17 ár,Vága region,R44005.7
,18-24 ár,,3.8
,18-24 ár,Eysturoyar region,R42003.6
,18-24 ár,Norðoya region,R41005.1
,18-24 ár,Sandoyar region,R45005.4
,18-24 ár,"Streymoyar region, north",R43003.1
,18-24 ár,"Streymoyar region, south",R47003
,18-24 ár,Suðuroyar region,R46005.5
,18-24 ár,Vága region,R44004.9
,25-54years,,3.5
,25-54years,Eysturoyar region,R42002.8
,25-54years,Norðoya region,R41004.8
,25-54years,Sandoyar region,R45006
,25-54years,"Streymoyar region, north",R43002.9
,25-54years,"Streymoyar region, south",R47002.7
,25-54years,Suðuroyar region,R46006.9
,25-54years,Vága region,R44003.8
,55-66 ár,,4.1
,55-66 ár,Eysturoyar region,R42004.1
,55-66 ár,Norðoya region,R41003.6
,55-66 ár,Sandoyar region,R450010.3
,55-66 ár,"Streymoyar region, north",R43003.8
,55-66 ár,"Streymoyar region, south",R47003.2
,55-66 ár,Suðuroyar region,R46005.1
,55-66 ár,Vága region,R44004.9
,67+ ár,,3.5
,67+ ár,Eysturoyar region,R42004.6
,67+ ár,Norðoya region,R41002.7
,67+ ár,Sandoyar region,R45003.5
,67+ ár,"Streymoyar region, north",R43004.7
,67+ ár,"Streymoyar region, south",R47002.9
,67+ ár,Suðuroyar region,R46003.4
,67+ ár,Vága region,R44002.8
Kvinnur,,,4.2
Kvinnur,,Eysturoyar region,R42003.5
Kvinnur,,Norðoya region,R41005.7
Kvinnur,,Sandoyar region,R45006.6
Kvinnur,,"Streymoyar region, north",R43004.8
Kvinnur,,"Streymoyar region, south",R47003
Kvinnur,,Suðuroyar region,R46008
Kvinnur,,Vága region,R44004.1
Kvinnur,00-17 ár,,5.3
Kvinnur,00-17 ár,Eysturoyar region,R42003.3
Kvinnur,00-17 ár,Norðoya region,R41008.7
Kvinnur,00-17 ár,Sandoyar region,R45008.9
Kvinnur,00-17 ár,"Streymoyar region, north",R43007.9
Kvinnur,00-17 ár,"Streymoyar region, south",R47003.1
Kvinnur,00-17 ár,Suðuroyar region,R460012.5
Kvinnur,00-17 ár,Vága region,R44005.5
Kvinnur,18-24 ár,,4.8
Kvinnur,18-24 ár,Eysturoyar region,R42004.3
Kvinnur,18-24 ár,Norðoya region,R41006.4
Kvinnur,18-24 ár,Sandoyar region,R45008.3
Kvinnur,18-24 ár,"Streymoyar region, north",R43005.5
Kvinnur,18-24 ár,"Streymoyar region, south",R47003.6
Kvinnur,18-24 ár,Suðuroyar region,R46007.5
Kvinnur,18-24 ár,Vága region,R44005.2
Kvinnur,25-54years,,4
Kvinnur,25-54years,Eysturoyar region,R42003.1
Kvinnur,25-54years,Norðoya region,R41005.8
Kvinnur,25-54years,Sandoyar region,R45005.8
Kvinnur,25-54years,"Streymoyar region, north",R43003.5
Kvinnur,25-54years,"Streymoyar region, south",R47003
Kvinnur,25-54years,Suðuroyar region,R46007.8
Kvinnur,25-54years,Vága region,R44004.3
Kvinnur,55-66 ár,,3.4
Kvinnur,55-66 ár,Eysturoyar region,R42003.8
Kvinnur,55-66 ár,Norðoya region,R41002.5
Kvinnur,55-66 ár,Sandoyar region,R45006.1
Kvinnur,55-66 ár,"Streymoyar region, north",R43002.5
