Year,Units,Series,Bitlastødd,Staðseting,Bitlastødd1,Value
2014,mikrogram/m3,Havnardalur (land),10 mikrogram/m3,,,7.8
2014,mikrogram/m3,Havnardalur (land),"2,5 mikrogram/m3",,,4.82
2014,mikrogram/m3,Bøkjarabrekka (býur),10 mikrogram/m3,,,11.8
2014,mikrogram/m3,Bøkjarabrekka (býur),"2,5 mikrogram/m3",,,6.36
2015,mikrogram/m3,Havnardalur (land),10 mikrogram/m3,,,7.59
2015,mikrogram/m3,Havnardalur (land),"2,5 mikrogram/m3",,,4.49
2015,mikrogram/m3,Bøkjarabrekka (býur),10 mikrogram/m3,,,11.0
2015,mikrogram/m3,Bøkjarabrekka (býur),"2,5 mikrogram/m3",,,5.61
2016,mikrogram/m3,Havnardalur (land),10 mikrogram/m3,,,7.13
2016,mikrogram/m3,Havnardalur (land),"2,5 mikrogram/m3",,,4.13
2016,mikrogram/m3,Bøkjarabrekka (býur),10 mikrogram/m3,,,10.1
2016,mikrogram/m3,Bøkjarabrekka (býur),"2,5 mikrogram/m3",,,4.96
2017,mikrogram/m3,Havnardalur (land),10 mikrogram/m3,,,8.08
2017,mikrogram/m3,Havnardalur (land),"2,5 mikrogram/m3",,,4.7
2017,mikrogram/m3,Bøkjarabrekka (býur),10 mikrogram/m3,,,11.1
2017,mikrogram/m3,Bøkjarabrekka (býur),"2,5 mikrogram/m3",,,5.63
2018,mikrogram/m3,Havnardalur (land),10 mikrogram/m3,,,8.81
2018,mikrogram/m3,Havnardalur (land),"2,5 mikrogram/m3",,,4.99
2018,mikrogram/m3,Bøkjarabrekka (býur),10 mikrogram/m3,,,12.5
2018,mikrogram/m3,Bøkjarabrekka (býur),"2,5 mikrogram/m3",,,6.28
2019,mikrogram/m3,Havnardalur (land),10 mikrogram/m3,,,7.34
2019,mikrogram/m3,Havnardalur (land),"2,5 mikrogram/m3",,,4.14
2019,mikrogram/m3,Bøkjarabrekka (býur),10 mikrogram/m3,,,11.4
2019,mikrogram/m3,Bøkjarabrekka (býur),"2,5 mikrogram/m3",,,5.72
2019,mikrogram/m3,Kaldbak (land),10 mikrogram/m3,,,8.44
2019,mikrogram/m3,Kaldbak (land),"2,5 mikrogram/m3",,,4.53
2020,mikrogram/m3,Havnardalur (land),10 mikrogram/m3,,,8.79
2020,mikrogram/m3,Havnardalur (land),"2,5 mikrogram/m3",,,4.67
2020,mikrogram/m3,Kaldbak (land),10 mikrogram/m3,,,8.65
2020,mikrogram/m3,Kaldbak (land),"2,5 mikrogram/m3",,,4.57
2021,mikrogram/m3,Havnardalur (land),10 mikrogram/m3,,,7.34
2021,mikrogram/m3,Havnardalur (land),"2,5 mikrogram/m3",,,4.21
2021,mikrogram/m3,Kaldbak (land),10 mikrogram/m3,,,8.07
2021,mikrogram/m3,Kaldbak (land),"2,5 mikrogram/m3",,,4.35
2014,,,,Havnardalur (land),10 μg/m³,7.83
2014,,,,Havnardalur (land),"2,5 μg/m³",4.82
2014,,,,Bøkjarabrekka (býur),10 μg/m³,11.8
2014,,,,Bøkjarabrekka (býur),"2,5 μg/m³",6.36
2015,,,,Havnardalur (land),10 μg/m³,7.59
2015,,,,Havnardalur (land),"2,5 μg/m³",4.49
2015,,,,Bøkjarabrekka (býur),10 μg/m³,11.0
2015,,,,Bøkjarabrekka (býur),"2,5 μg/m³",5.61
2016,,,,Havnardalur (land),10 μg/m³,7.13
2016,,,,Havnardalur (land),"2,5 μg/m³",4.13
2016,,,,Bøkjarabrekka (býur),10 μg/m³,10.1
2016,,,,Bøkjarabrekka (býur),"2,5 μg/m³",4.96
2017,,,,Havnardalur (land),10 μg/m³,8.08
2017,,,,Havnardalur (land),"2,5 μg/m³",4.7
2017,,,,Bøkjarabrekka (býur),10 μg/m³,11.1
2017,,,,Bøkjarabrekka (býur),"2,5 μg/m³",5.63
2018,,,,Havnardalur (land),10 μg/m³,8.81
2018,,,,Havnardalur (land),"2,5 μg/m³",4.99
2018,,,,Bøkjarabrekka (býur),10 μg/m³,12.5
2018,,,,Bøkjarabrekka (býur),"2,5 μg/m³",6.28
2019,,,,Havnardalur (land),10 μg/m³,7.34
2019,,,,Havnardalur (land),"2,5 μg/m³",4.14
2019,,,,Bøkjarabrekka (býur),10 μg/m³,11.4
2019,,,,Bøkjarabrekka (býur),"2,5 μg/m³",5.72
2019,,,,Kaldbak (land),10 μg/m³,8.44
2019,,,,Kaldbak (land),"2,5 μg/m³",4.53
2020,,,,Havnardalur (land),10 μg/m³,8.79
2020,,,,Havnardalur (land),"2,5 μg/m³",4.67
2020,,,,Kaldbak (land),10 μg/m³,8.65
2020,,,,Kaldbak (land),"2,5 μg/m³",4.57
2021,,,,Havnardalur (land),10 μg/m³,7.34
2021,,,,Havnardalur (land),"2,5 μg/m³",4.21
2021,,,,Kaldbak (land),10 μg/m³,8.07
2021,,,,Kaldbak (land),"2,5 μg/m³",4.35
