Year,Units,Slag av tilfari,Value
1998,Innlendis tilfarsnýtsla (1.000 tons),,817.0
1998,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,357.4
1998,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,2.6
1998,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,287.8
1998,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,169.1
1998,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,18.4
1998,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,8.0
1998,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
1998,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,6.5
1998,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.8
1998,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,109.5
1998,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,47.9
1998,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.4
1998,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,38.6
1998,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,22.7
1999,Innlendis tilfarsnýtsla (1.000 tons),,876.2
1999,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,364.7
1999,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,3.8
1999,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,311.0
1999,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,196.6
1999,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,19.4
1999,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,8.1
1999,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
1999,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,6.9
1999,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,4.4
1999,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,111.0
