Year,Units,data.wastemanagement,Value
2012,data.percent,data.recycling,13.7
2012,data.tonnes,,43866.0
2012,data.tonnes,data.incineration,30638.0
2012,data.tonnes,data.landfill,6222.0
2012,data.tonnes,data.recycling,6008.0
2012,data.tonnes,data.extraordinarypolluting,998.0
2013,data.percent,data.recycling,15.6
2013,data.tonnes,,45300.0
2013,data.tonnes,data.incineration,30490.0
2013,data.tonnes,data.landfill,6993.0
2013,data.tonnes,data.recycling,7084.0
2013,data.tonnes,data.extraordinarypolluting,733.0
2014,data.percent,data.recycling,15.4
2014,data.tonnes,,51079.0
2014,data.tonnes,data.incineration,33396.0
2014,data.tonnes,data.landfill,8487.0
2014,data.tonnes,data.recycling,7869.0
2014,data.tonnes,data.extraordinarypolluting,1327.0
2015,data.percent,data.recycling,18.8
2015,data.tonnes,,49902.0
2015,data.tonnes,data.incineration,33282.0
2015,data.tonnes,data.landfill,6237.0
2015,data.tonnes,data.recycling,9385.0
2015,data.tonnes,data.extraordinarypolluting,998.0
2016,data.percent,data.recycling,16.3
2016,data.tonnes,,51885.0
2016,data.tonnes,data.incineration,33677.0
2016,data.tonnes,data.landfill,8691.0
2016,data.tonnes,data.recycling,8482.0
2016,data.tonnes,data.extraordinarypolluting,1035.0
