Year,Mát,Value
2005,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2005,"Blaðgrøni-a grundfrávik, fjarmáting (%)",4.89118
2006,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2006,"Blaðgrøni-a grundfrávik, fjarmáting (%)",3.70124
2007,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2007,"Blaðgrøni-a grundfrávik, fjarmáting (%)",3.06608
2008,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2008,"Blaðgrøni-a grundfrávik, fjarmáting (%)",5.38985
2009,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2009,"Blaðgrøni-a grundfrávik, fjarmáting (%)",8.33331
2010,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2010,"Blaðgrøni-a grundfrávik, fjarmáting (%)",10.04076
2011,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2011,"Blaðgrøni-a grundfrávik, fjarmáting (%)",11.6396
2012,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2012,"Blaðgrøni-a grundfrávik, fjarmáting (%)",3.69643
2013,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2013,"Blaðgrøni-a grundfrávik, fjarmáting (%)",6.30942
2014,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2014,"Blaðgrøni-a grundfrávik, fjarmáting (%)",7.05934
2015,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2015,"Blaðgrøni-a grundfrávik, fjarmáting (%)",4.37811
2016,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2016,"Blaðgrøni-a grundfrávik, fjarmáting (%)",2.52618
2017,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2017,"Blaðgrøni-a grundfrávik, fjarmáting (%)",4.39161
2018,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",10.23508
2018,"Blaðgrøni-a grundfrávik, fjarmáting (%)",3.87649
2019,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",9.71305
2019,"Blaðgrøni-a grundfrávik, fjarmáting (%)",6.09887
2020,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",11.07212
2020,"Blaðgrøni-a grundfrávik, fjarmáting (%)",6.08639
2021,"Blaðgrøni-a mánaðarligt frávik, fjarmáting (%)",
2021,"Blaðgrøni-a grundfrávik, fjarmáting (%)",3.59289
