Year,Kelda,Value
2002,Løgreglan,0.0
2002,Landslæknin,..
2003,Løgreglan,0.0
2003,Landslæknin,..
2004,Løgreglan,0.0
2004,Landslæknin,..
2005,Løgreglan,0.0
2005,Landslæknin,..
2006,Løgreglan,0.0
2006,Landslæknin,..
2007,Løgreglan,0.0
2007,Landslæknin,0.0
2008,Løgreglan,0.0
2008,Landslæknin,0.0
2009,Løgreglan,0.0
2009,Landslæknin,0.0
2010,Løgreglan,0.0
2010,Landslæknin,0.0
2011,Løgreglan,4.1
2011,Landslæknin,0.0
2012,Løgreglan,0.0
2012,Landslæknin,0.0
2013,Løgreglan,2.1
2013,Landslæknin,2.1
2014,Løgreglan,2.1
2014,Landslæknin,4.1
2015,Løgreglan,0.0
2015,Landslæknin,0.0
2016,Løgreglan,0.0
2016,Landslæknin,0.0
2017,Løgreglan,0.0
2017,Landslæknin,0.0
2018,Løgreglan,0.0
2018,Landslæknin,0.0
2019,Løgreglan,0.0
2019,Landslæknin,0.0
2020,Løgreglan,0.0
2020,Landslæknin,0.0
2021,Løgreglan,
2021,Landslæknin,0.0
