Year,Series,kelda,Units,Value
1998,Samlaðu almennu inntøkurnar,,%,76.9667252242155
1999,Samlaðu almennu inntøkurnar,,%,64.9242632804708
2000,Samlaðu almennu inntøkurnar,,%,62.7004266269981
2001,Samlaðu almennu inntøkurnar,,%,60.9049129606961
2002,Samlaðu almennu inntøkurnar,,%,57.452800330375
2003,Samlaðu almennu inntøkurnar,,%,57.2206690055544
2004,Samlaðu almennu inntøkurnar,,%,54.673363504235
2005,Samlaðu almennu inntøkurnar,,%,54.9931271473713
2006,Samlaðu almennu inntøkurnar,,%,53.9400836780858
2007,Samlaðu almennu inntøkurnar,,%,54.7974861106748
2008,Samlaðu almennu inntøkurnar,,%,56.4170091857637
2009,Samlaðu almennu inntøkurnar,,%,55.5810871894031
2010,Samlaðu almennu inntøkurnar,,%,52.7947120044163
2011,Samlaðu almennu inntøkurnar,,%,54.5253737265368
2012,Samlaðu almennu inntøkurnar,,%,52.6214035376377
2013,Samlaðu almennu inntøkurnar,,%,49.8779159178062
2014,Samlaðu almennu inntøkurnar,,%,48.6523952497825
2015,Samlaðu almennu inntøkurnar,,%,49.1100770043114
2016,Samlaðu almennu inntøkurnar,,%,48.1002184704446
2017,Samlaðu almennu inntøkurnar,,%,50.6061690328494
2018,Samlaðu almennu inntøkurnar,,%,52.8511763070294
2019,Samlaðu almennu inntøkurnar,,%,50.3679975835817
2020,Samlaðu almennu inntøkurnar,,%,51.6579138391583
2021,Samlaðu almennu inntøkurnar,,%,51.1253687513937
2022,Samlaðu almennu inntøkurnar,,%,48.8886723048309
1998,Samlaðu almennu inntøkurnar,Skattir,%,41.1013335732937
1999,Samlaðu almennu inntøkurnar,Skattir,%,42.486267050796
2000,Samlaðu almennu inntøkurnar,Skattir,%,41.9506117910975
2001,Samlaðu almennu inntøkurnar,Skattir,%,41.3474914934314
2002,Samlaðu almennu inntøkurnar,Skattir,%,42.1714581071165
2003,Samlaðu almennu inntøkurnar,Skattir,%,42.7386327228677
2004,Samlaðu almennu inntøkurnar,Skattir,%,40.5847746752298
2005,Samlaðu almennu inntøkurnar,Skattir,%,40.1773718496295
2006,Samlaðu almennu inntøkurnar,Skattir,%,39.7201904793481
2007,Samlaðu almennu inntøkurnar,Skattir,%,40.5509093826046
2008,Samlaðu almennu inntøkurnar,Skattir,%,40.7241722686747
2009,Samlaðu almennu inntøkurnar,Skattir,%,39.153087597844
2010,Samlaðu almennu inntøkurnar,Skattir,%,38.4827363037564
2011,Samlaðu almennu inntøkurnar,Skattir,%,39.2644240107074
2012,Samlaðu almennu inntøkurnar,Skattir,%,38.1151855530991
2013,Samlaðu almennu inntøkurnar,Skattir,%,35.6375783163359
2014,Samlaðu almennu inntøkurnar,Skattir,%,35.3902304518966
2015,Samlaðu almennu inntøkurnar,Skattir,%,36.3855985368122
2016,Samlaðu almennu inntøkurnar,Skattir,%,34.8074857711705
2017,Samlaðu almennu inntøkurnar,Skattir,%,36.1715848973976
2018,Samlaðu almennu inntøkurnar,Skattir,%,36.9255472184497
2019,Samlaðu almennu inntøkurnar,Skattir,%,36.2185231967898
2020,Samlaðu almennu inntøkurnar,Skattir,%,38.0426642563261
2021,Samlaðu almennu inntøkurnar,Skattir,%,36.3293210609129
2022,Samlaðu almennu inntøkurnar,Skattir,%,35.4260557594816
1998,Samlaðu almennu inntøkurnar,Sosial gjøld,%,3.65543313775497
1999,Samlaðu almennu inntøkurnar,Sosial gjøld,%,3.45620392864751
2000,Samlaðu almennu inntøkurnar,Sosial gjøld,%,3.06528720673378
2001,Samlaðu almennu inntøkurnar,Sosial gjøld,%,2.87261924971896
2002,Samlaðu almennu inntøkurnar,Sosial gjøld,%,3.04871866886696
2003,Samlaðu almennu inntøkurnar,Sosial gjøld,%,2.45393147423849
2004,Samlaðu almennu inntøkurnar,Sosial gjøld,%,2.74745869525663
2005,Samlaðu almennu inntøkurnar,Sosial gjøld,%,3.20573713925556
