Year,Mát,Vørubólkur,Value
2000,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Tilsamans,3.65506
2000,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Landbúnaðarvørur,8.80365
2000,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Ídnaðarvørur,3.43279
2000,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Pløgg,12.95968
2000,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Klædnavørur,8.68377
2000,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Tilsamans,3.6469
2000,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Landbúnaðarvørur,8.80333
2000,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Ídnaðarvørur,3.42459
2000,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Pløgg,12.70205
2000,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Klædnavørur,8.43693
2001,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",,
2001,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",,
2002,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",,
2002,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",,
2003,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",,
2003,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",,
2004,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",,
2004,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",,
2005,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Tilsamans,3.6273
2005,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Landbúnaðarvørur,7.72954
