Year,Mát,Value
1997,data.officialdevelopmentassistance,0.00
1997,data.disasterrelief,..
1998,data.officialdevelopmentassistance,0.00
1998,data.disasterrelief,..
1999,data.officialdevelopmentassistance,0.03
1999,data.disasterrelief,..
2000,data.officialdevelopmentassistance,0.00
2000,data.disasterrelief,..
2001,data.officialdevelopmentassistance,0.00
2001,data.disasterrelief,..
2002,data.officialdevelopmentassistance,0.03
2002,data.disasterrelief,..
2003,data.officialdevelopmentassistance,0.00
2003,data.disasterrelief,..
2004,data.officialdevelopmentassistance,0.00
2004,data.disasterrelief,..
2005,data.officialdevelopmentassistance,0.06
2005,data.disasterrelief,..
2006,data.officialdevelopmentassistance,0.03
2006,data.disasterrelief,0.00
2007,data.officialdevelopmentassistance,0.02
2007,data.disasterrelief,0.00
2008,data.officialdevelopmentassistance,0.02
2008,data.disasterrelief,0.00
2009,data.officialdevelopmentassistance,0.02
2009,data.disasterrelief,0.00
2010,data.officialdevelopmentassistance,0.02
2010,data.disasterrelief,0.00
2011,data.officialdevelopmentassistance,0.01
2011,data.disasterrelief,0.00
2012,data.officialdevelopmentassistance,0.01
2012,data.disasterrelief,0.00
2013,data.officialdevelopmentassistance,0.01
2013,data.disasterrelief,0.00
2014,data.officialdevelopmentassistance,0.01
2014,data.disasterrelief,-
2015,data.officialdevelopmentassistance,0.01
2015,data.disasterrelief,0.01
2016,data.officialdevelopmentassistance,0.01
2016,data.disasterrelief,0.01
2017,data.officialdevelopmentassistance,0.01
2017,data.disasterrelief,0.02
2018,data.officialdevelopmentassistance,0.03
2018,data.disasterrelief,0.01
2019,data.officialdevelopmentassistance,0.03
2019,data.disasterrelief,0.01
2020,data.officialdevelopmentassistance,0.01
2020,data.disasterrelief,0.03
2021,data.officialdevelopmentassistance,0.02
2021,data.disasterrelief,0.02
