Year,Value
1951,32.0
1952,32.0
1953,32.0
1954,32.0
1955,32.0
1956,27.0
1957,27.0
1958,27.0
1959,27.0
1960,27.0
1961,19.0
1962,19.0
1963,19.0
1964,19.0
1965,19.0
1966,17.0
1967,17.0
1968,17.0
1969,17.0
1970,17.0
1985,4.1
1986,2.5
1987,7.7
1988,11.5
1989,12.9
1990,4.2
1991,8.1
1992,7.4
1993,5.2
1994,7.5
1995,6.2
1996,1.5
1997,4.5
1998,0.0
1999,3.2
2000,1.4
2001,3.2
2002,2.8
2003,1.4
2004,1.4
2005,8.4
2006,1.5
2007,4.4
2008,1.5
2009,1.6
2010,3.1
2011,3.4
2012,12.9
2013,0.0
2014,4.7
2015,3.3
2016,4.5
2017,4.6
2018,0.0
2019,4.4
2020,1.5
2021,0.0
