Year,Units,Series,kyn,Value
2003,%,Tubbaksnýtsla,,41.0
2004,%,Tubbaksnýtsla,,36.0
2005,%,Tubbaksnýtsla,,32.0
2006,%,Tubbaksnýtsla,,33.0
2006,%,Tubbaksnýtsla,Dreingir,31.0
2006,%,Tubbaksnýtsla,Gentur,34.0
2007,%,Tubbaksnýtsla,,28.0
2007,%,Tubbaksnýtsla,Dreingir,26.0
2007,%,Tubbaksnýtsla,Gentur,31.0
2008,%,Tubbaksnýtsla,,33.0
2008,%,Tubbaksnýtsla,Dreingir,37.0
2008,%,Tubbaksnýtsla,Gentur,28.0
2009,%,Tubbaksnýtsla,,34.0
2009,%,Tubbaksnýtsla,Dreingir,36.0
2009,%,Tubbaksnýtsla,Gentur,32.0
2010,%,Tubbaksnýtsla,,27.0
2010,%,Tubbaksnýtsla,Dreingir,25.0
2010,%,Tubbaksnýtsla,Gentur,29.0
2011,%,Tubbaksnýtsla,,34.0
2011,%,Tubbaksnýtsla,Dreingir,36.0
2011,%,Tubbaksnýtsla,Gentur,32.0
2012,%,Tubbaksnýtsla,,29.0
2012,%,Tubbaksnýtsla,Dreingir,28.0
2012,%,Tubbaksnýtsla,Gentur,31.0
2013,%,Tubbaksnýtsla,,33.0
2013,%,Tubbaksnýtsla,Dreingir,33.0
2013,%,Tubbaksnýtsla,Gentur,32.0
2014,%,Tubbaksnýtsla,,27.0
2014,%,Tubbaksnýtsla,Dreingir,30.0
2014,%,Tubbaksnýtsla,Gentur,23.0
2015,%,Tubbaksnýtsla,,27.0
2015,%,Tubbaksnýtsla,Dreingir,26.0
2015,%,Tubbaksnýtsla,Gentur,29.0
2016,%,Tubbaksnýtsla,,34.0
2016,%,Tubbaksnýtsla,Dreingir,38.0
2016,%,Tubbaksnýtsla,Gentur,29.0
2017,%,Tubbaksnýtsla,,27.0
2017,%,Tubbaksnýtsla,Dreingir,27.0
2017,%,Tubbaksnýtsla,Gentur,26.0
2018,%,Tubbaksnýtsla,,26.0
2018,%,Tubbaksnýtsla,Dreingir,29.0
2018,%,Tubbaksnýtsla,Gentur,21.0
2019,%,Tubbaksnýtsla,,29.0
2019,%,Tubbaksnýtsla,Dreingir,30.0
2019,%,Tubbaksnýtsla,Gentur,28.0
2020,%,Tubbaksnýtsla,,31.0
2020,%,Tubbaksnýtsla,Dreingir,33.0
2020,%,Tubbaksnýtsla,Gentur,28.0
2021,%,Tubbaksnýtsla,,26.0
2021,%,Tubbaksnýtsla,Dreingir,28.0
2021,%,Tubbaksnýtsla,Gentur,24.0
2022,%,Tubbaksnýtsla,,27.0
2022,%,Tubbaksnýtsla,Dreingir,29.0
2022,%,Tubbaksnýtsla,Gentur,25.0
