Year,Series,Útbúgving,Units,kyn,Útbúgving1,Kyn,Value
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Barnaskúlin 1. - 7. flokk,%,Bæði kyn,,,96.263837638376
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Barnaskúlin 1. - 7. flokk,%,Menn,,,95.093666369313
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Barnaskúlin 1. - 7. flokk,%,Kvinnur,,,97.516714422159
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Framhaldsskúlin 8. - 10. flokk,%,Bæði kyn,,,96.495220755576
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Framhaldsskúlin 8. - 10. flokk,%,Menn,,,96.121416526138
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Framhaldsskúlin 8. - 10. flokk,%,Kvinnur,,,96.933728981207
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Miðnáms- ella yrkisútbúgving,%,Bæði kyn,,,71.137521222411
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Miðnáms- ella yrkisútbúgving,%,Menn,,,61.838440111421
2011,Prosentpartur við loknari útbúgving 3-5 ár aftan á vanliga aldurin við lidna útbúgving,Miðnáms- ella yrkisútbúgving,%,Kvinnur,,,85.652173913043
2011,,,,,Barnaskúlin 1. - 7. flokk,,96.3
2011,,,,,Barnaskúlin 1. - 7. flokk,Menn,95.1
2011,,,,,Barnaskúlin 1. - 7. flokk,Kvinnur,97.5
2011,,,,,Framhaldsskúlin 8. - 10. flokk,,96.5
2011,,,,,Framhaldsskúlin 8. - 10. flokk,Menn,96.1
2011,,,,,Framhaldsskúlin 8. - 10. flokk,Kvinnur,96.9
2011,,,,,Miðnáms- ella yrkisútbúgving,,71.1
2011,,,,,Miðnáms- ella yrkisútbúgving,Menn,61.8
2011,,,,,Miðnáms- ella yrkisútbúgving,Kvinnur,85.7
