Year,data.age,Value
1985,data.15-17years,0.6
1985,data.00-14years,0.0
1986,data.15-17years,0.7
1986,data.00-14years,0.0
1987,data.15-17years,0.8
1987,data.00-14years,0.0
1988,data.15-17years,0.5
1988,data.00-14years,0.0
1989,data.15-17years,0.4
1989,data.00-14years,0.0
1990,data.15-17years,0.6
1990,data.00-14years,0.0
1991,data.15-17years,0.5
1991,data.00-14years,0.0
1992,data.15-17years,0.4
1992,data.00-14years,0.0
1993,data.15-17years,0.5
1993,data.00-14years,0.0
1994,data.15-17years,0.6
1994,data.00-14years,0.0
1995,data.15-17years,0.4
1995,data.00-14years,0.0
1996,data.15-17years,0.5
1996,data.00-14years,0.0
1997,data.15-17years,0.4
1997,data.00-14years,0.0
1998,data.15-17years,0.5
1998,data.00-14years,0.0
1999,data.15-17years,0.4
1999,data.00-14years,0.0
2000,data.15-17years,0.2
2000,data.00-14years,0.0
2001,data.15-17years,0.2
2001,data.00-14years,0.0
2002,data.15-17years,0.3
2002,data.00-14years,0.0
2003,data.15-17years,0.1
2003,data.00-14years,0.0
2004,data.15-17years,0.1
2004,data.00-14years,0.0
2005,data.15-17years,0.2
2005,data.00-14years,0.0
2006,data.15-17years,0.1
2006,data.00-14years,0.0
2007,data.15-17years,0.2
2007,data.00-14years,0.0
2008,data.15-17years,0.1
2008,data.00-14years,0.0
2009,data.15-17years,0.1
2009,data.00-14years,0.0
2010,data.15-17years,0.1
2010,data.00-14years,0.0
2011,data.15-17years,0.1
2011,data.00-14years,0.0
2012,data.15-17years,0.1
2012,data.00-14years,0.0
2013,data.15-17years,0.1
2013,data.00-14years,0.0
2014,data.15-17years,0.0
2014,data.00-14years,0.0
2015,data.15-17years,0.1
2015,data.00-14years,0.0
2016,data.15-17years,0.1
2016,data.00-14years,0.0
2017,data.15-17years,0.0
2017,data.00-14years,0.0
2018,data.15-17years,0.1
2018,data.00-14years,0.0
2019,data.15-17years,0.1
2019,data.00-14years,0.0
2020,data.15-17years,0.1
2020,data.00-14years,0.0
2021,data.15-17years,0.1
2021,data.00-14years,0.0
