Year,Staðseting,Aldur,Kyn,Value
2011,Tilsamans,15+ ár,,7.6
2011,Tilsamans,15+ ár,Menn,4.7
2011,Tilsamans,15+ ár,Kvinnur,10.6
2011,Tilsamans,15-24 ár,,2.9
2011,Tilsamans,15-24 ár,Menn,1.9
2011,Tilsamans,15-24 ár,Kvinnur,4.0
2011,Tilsamans,25-44 ár,,8.2
2011,Tilsamans,25-44 ár,Menn,5.2
2011,Tilsamans,25-44 ár,Kvinnur,11.7
2011,Tilsamans,45-54 ár,,9.0
2011,Tilsamans,45-54 ár,Menn,5.7
2011,Tilsamans,45-54 ár,Kvinnur,12.8
2011,Tilsamans,55-64 ár,,9.1
2011,Tilsamans,55-64 ár,Menn,5.4
2011,Tilsamans,55-64 ár,Kvinnur,13.2
2011,Tilsamans,65+ ár,,8.3
2011,Tilsamans,65+ ár,Menn,5.3
2011,Tilsamans,65+ ár,Kvinnur,11.0
2011,Býur,15+ ár,,7.1
2011,Býur,15+ ár,Menn,4.7
2011,Býur,15+ ár,Kvinnur,9.6
2011,Býur,15-24 ár,,2.6
2011,Býur,15-24 ár,Menn,1.9
2011,Býur,15-24 ár,Kvinnur,3.4
2011,Býur,25-44 ár,,7.8
2011,Býur,25-44 ár,Menn,5.1
2011,Býur,25-44 ár,Kvinnur,10.6
2011,Býur,45-54 ár,,8.4
2011,Býur,45-54 ár,Menn,5.6
2011,Býur,45-54 ár,Kvinnur,11.5
2011,Býur,55-64 ár,,8.4
2011,Býur,55-64 ár,Menn,5.3
2011,Býur,55-64 ár,Kvinnur,11.6
2011,Býur,65+ ár,,8.1
2011,Býur,65+ ár,Menn,5.4
2011,Býur,65+ ár,Kvinnur,10.3
2011,Bygd,15+ ár,,7.9
2011,Bygd,15+ ár,Menn,4.8
2011,Bygd,15+ ár,Kvinnur,11.3
2011,Bygd,15-24 ár,,3.1
2011,Bygd,15-24 ár,Menn,2.0
2011,Bygd,15-24 ár,Kvinnur,4.4
2011,Bygd,25-44 ár,,8.5
2011,Bygd,25-44 ár,Menn,5.3
2011,Bygd,25-44 ár,Kvinnur,12.4
2011,Bygd,45-54 ár,,9.5
2011,Bygd,45-54 ár,Menn,5.7
2011,Bygd,45-54 ár,Kvinnur,13.7
2011,Bygd,55-64 ár,,9.6
2011,Bygd,55-64 ár,Menn,5.5
2011,Bygd,55-64 ár,Kvinnur,14.2
2011,Bygd,65+ ár,,8.4
2011,Bygd,65+ ár,Menn,5.2
2011,Bygd,65+ ár,Kvinnur,11.3
