Year,Units,Series,Value
2009,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,-4.71
2010,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,-0.41
2011,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,3.91
2012,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,6.94
2013,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,5.59
2014,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,4.58
2015,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,-0.03
2016,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,0.24
2017,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,2.07
2018,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,1.24
2019,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,2.66
2020,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,-3.53
2021,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,4.11
2022,%,Árligur vøkstur av real-BTÚ upp á íbúgvan,3.95
