Year,Units,data.material type,Value
2009,Innlendis tilfarsnýtsla (1.000 tons),,926.84
2009,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,298.35
2009,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,-1.59
2009,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,402.95
2009,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,227.13
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,19.09
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,6.15
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,-0.03
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,8.3
2009,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,4.68
2009,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,70.27
2009,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,22.62
2009,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,-0.12
2009,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,30.55
2009,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,17.22
2010,Innlendis tilfarsnýtsla (1.000 tons),,831.08
2010,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,343.99
2010,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,-3.2
2010,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,262.13
2010,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,228.16
2010,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,17.15
