Year,kyn,aldur,Series,Units,Value
2015,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,3.3
2016,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,3.5
2017,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,2.5
2018,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.8
2019,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.3
2020,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.7
2021,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,2.1
2022,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,2.0
2023,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.3
2024,,,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.5
2015,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,7.2
2016,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,8.5
2017,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,6.2
2018,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,4.5
2019,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,3.2
2020,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,3.4
2021,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,6.0
2022,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,6.3
2023,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,3.5
2024,,15-24 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,2.8
2015,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,2.6
2016,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,2.6
2017,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.9
2018,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.4
2019,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.0
2020,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.5
2021,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.4
2022,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.2
2023,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,0.8
2024,,25-54 ár,"Arbeiðsloysið (arbeiðsleys í prosent av arbeiðsfjøld, 15-74 ár)",%,1.5
