Year,Series,aldur,Units,kyn,Value
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",,%,,4.40759001942328
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",,%,Menn,4.18746533555186
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",,%,Kvinnur,4.66472303206997
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",15-19 ár,%,,2.99450549450549
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",15-19 ár,%,Menn,3.18230852211435
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",15-19 ár,%,Kvinnur,2.79955207166853
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",20-24 ár,%,,6.09236816246315
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",20-24 ár,%,Menn,5.25114155251142
2011,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",20-24 ár,%,Kvinnur,7.22521137586472
2017,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",,%,,2.34484914803814
2018,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",,%,,5.19117189928505
2019,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",,%,,9.89948218093207
2020,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",,%,,7.42065265981225
2021,"Partur av ungum (15-24 ár) sum ikki eru í útbúgving, arbeiði ella læru",,%,,4.39253709416777
