Year,Mát,Value
1998,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.0
1998,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,16853.4
1999,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.8
1999,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,18946.6
2000,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.3
2000,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,19382.6
2001,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,11.1
2001,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,23114.4
2002,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,11.1
2002,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,23592.5
2003,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.4
2003,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,21545.8
2004,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,9.5
2004,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,20121.3
2005,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.9
2005,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,19504.7
2006,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.6
2006,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,21414.4
2007,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.6
2007,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,22499.7
2008,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.4
2008,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,22091.5
2009,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.2
2009,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,20826.5
2010,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.0
2010,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,21516.2
2011,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,7.8
2011,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,21696.6
2012,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.1
2012,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,23545.2
2013,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,7.6
2013,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,23655.2
2014,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.9
2014,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,30017.3
2015,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,9.2
2015,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,32434.9
2016,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.2
2016,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,31197.4
2017,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,9.1
2017,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,35636.3
2018,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,8.9
2018,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,35022.4
2019,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.1
2019,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,42790.8
2020,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,10.5
2020,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,42432.8
