Year,Series,kelda,Units,Høvuðskelda,Value
1991,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.649634144481681
1992,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.744483747398703
1993,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.67218575402615
1994,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.674637619839
1995,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.6721524434764
1996,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.7030326844335
1997,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.69456920981705
1998,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.71246999784605
1999,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.751230389838801
2000,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.80243466928115
2001,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.9686409136
2002,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.8679660099052
2003,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.86260166043
2004,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.873660853905
2005,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.861135956725
2006,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.8072381841
2007,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.830285483365
2008,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.761614112785
2009,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.83575398112
2010,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.8835445323
2011,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.77399522424
2012,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.870822707815
2013,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.808483916232
2014,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.849716660636
2015,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.806052373556
2016,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,0.83605807704
2017,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,1.001444353881
2018,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,1.107306905731
2019,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,1.132443546626
2020,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,1.1896239732705
2021,Útlát av koltvísúrni frá nýtslu av brennievni,Nýtsla av brennievni tilsamans,millónir tons,,1.211718906745
1990,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.668768428863456
1991,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.649500646113681
1992,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.639027662180703
1993,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.52929408321815
1994,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.534333646221
1995,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.5402720946784
1996,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.5605491678375
1997,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.55615165653305
1998,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.59983566158405
1999,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.629143491564801
2000,Útlát av koltvísúrni frá nýtslu av brennievni, - Nýtsla av brennievni,millónir tons,,0.66579216419915
