Year,Tøkni,Value
2015,3G fartelefonnet ella betri,96
2015,4G fartelefonnet ella betri,58
2016,3G fartelefonnet ella betri,98
2016,4G fartelefonnet ella betri,98
2017,3G fartelefonnet ella betri,100
2017,4G fartelefonnet ella betri,100
2018,3G fartelefonnet ella betri,100
2018,4G fartelefonnet ella betri,100
2019,3G fartelefonnet ella betri,100
2019,4G fartelefonnet ella betri,100
2020,3G fartelefonnet ella betri,100
2020,4G fartelefonnet ella betri,100
2021,3G fartelefonnet ella betri,100
2021,4G fartelefonnet ella betri,100
