Year,Value,Units,Series,GeoCode
2009,4.0,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2010,4.2,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2011,4.4,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2012,4.7,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2013,3.8,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2014,3.5,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2015,3.4,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2016,3.2,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2017,3.0,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2018,2.9,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2019,2.6,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2020,2.4,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2021,2.6,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
2022,2.5,%,Útlát av koltvísúrni frá nýtslu av brennievni,TOTAL
