Year,Value,Units,Series
1998,57.9327368259905,%,Partur av samlaðu almennu útreiðslunum
1999,59.0791532602041,%,Partur av samlaðu almennu útreiðslunum
2000,57.4425414330342,%,Partur av samlaðu almennu útreiðslunum
2001,57.686316104582,%,Partur av samlaðu almennu útreiðslunum
2002,57.595412829352,%,Partur av samlaðu almennu útreiðslunum
2003,59.758717493869,%,Partur av samlaðu almennu útreiðslunum
2004,59.6353850736043,%,Partur av samlaðu almennu útreiðslunum
2005,61.0903106995563,%,Partur av samlaðu almennu útreiðslunum
2006,60.4749009823648,%,Partur av samlaðu almennu útreiðslunum
2007,61.983232652845,%,Partur av samlaðu almennu útreiðslunum
2008,62.6495998388496,%,Partur av samlaðu almennu útreiðslunum
2009,65.4307791615846,%,Partur av samlaðu almennu útreiðslunum
2010,67.4228703921674,%,Partur av samlaðu almennu útreiðslunum
2011,66.5579057067,%,Partur av samlaðu almennu útreiðslunum
2012,65.2055485230558,%,Partur av samlaðu almennu útreiðslunum
2013,64.1417331765973,%,Partur av samlaðu almennu útreiðslunum
2014,64.5460380147189,%,Partur av samlaðu almennu útreiðslunum
2015,63.8642966717478,%,Partur av samlaðu almennu útreiðslunum
2016,63.75930238174,%,Partur av samlaðu almennu útreiðslunum
2017,62.6383111632433,%,Partur av samlaðu almennu útreiðslunum
2018,61.0880099757715,%,Partur av samlaðu almennu útreiðslunum
2019,60.7495405493263,%,Partur av samlaðu almennu útreiðslunum
2020,61.6813480576337,%,Partur av samlaðu almennu útreiðslunum
2021,62.5078928869652,%,Partur av samlaðu almennu útreiðslunum
2022,61.9143356996597,%,Partur av samlaðu almennu útreiðslunum
2023,60.3946672935885,%,Partur av samlaðu almennu útreiðslunum
2024,61.311630741748,%,Partur av samlaðu almennu útreiðslunum
