Year,Value,Series
2005,4.89118,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2006,3.70124,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2007,3.06608,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2008,5.38985,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2009,8.33331,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2010,10.04076,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2011,11.6396,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2012,3.69643,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2013,6.30942,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2014,7.05934,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2015,4.37811,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2016,2.52618,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2017,4.39161,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2018,3.87649,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2019,6.09887,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2020,6.08639,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2021,3.59289,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
2022,5.8465,"Blaðgrøni-a grundfrávik, fjarmáting (%)"
