Year,Value,Units
2008,25.4,data.fixedbroadbandsubscriptionsper100inhabitants
2008,12265,data.fixedbroadbandsubscriptions
2009,29.5,data.fixedbroadbandsubscriptionsper100inhabitants
2009,14328,data.fixedbroadbandsubscriptions
2010,31.3,data.fixedbroadbandsubscriptionsper100inhabitants
2010,15157,data.fixedbroadbandsubscriptions
2011,32.6,data.fixedbroadbandsubscriptionsper100inhabitants
2011,15775,data.fixedbroadbandsubscriptions
2012,33.1,data.fixedbroadbandsubscriptionsper100inhabitants
2012,15944,data.fixedbroadbandsubscriptions
2013,34.0,data.fixedbroadbandsubscriptionsper100inhabitants
2013,16324,data.fixedbroadbandsubscriptions
2014,35.0,data.fixedbroadbandsubscriptionsper100inhabitants
2014,16826,data.fixedbroadbandsubscriptions
2015,35.7,data.fixedbroadbandsubscriptionsper100inhabitants
2015,17330,data.fixedbroadbandsubscriptions
2016,36.2,data.fixedbroadbandsubscriptionsper100inhabitants
2016,17792,data.fixedbroadbandsubscriptions
2017,36.1,data.fixedbroadbandsubscriptionsper100inhabitants
2017,17973,data.fixedbroadbandsubscriptions
2018,35.8,data.fixedbroadbandsubscriptionsper100inhabitants
2018,18041,data.fixedbroadbandsubscriptions
2019,35.5,data.fixedbroadbandsubscriptionsper100inhabitants
2019,18181,data.fixedbroadbandsubscriptions
2020,34.9,data.fixedbroadbandsubscriptionsper100inhabitants
2020,18180,data.fixedbroadbandsubscriptions
2021,34.9,data.fixedbroadbandsubscriptionsper100inhabitants
2021,18443,data.fixedbroadbandsubscriptions
