Year,Value
1986,0.0439449369939466
1987,0.0652777022248817
1988,0.0214769713175048
1989,0.0211732074233265
1990,0.0629267218324261
1991,0.0
1992,0.0
1993,0.0851598343641222
1994,0.0217396030348486
1995,0.0
1996,0.0229966999735538
1997,0.0
1998,0.0
1999,0.0
2000,0.0221960801722416
2001,0.0
2002,0.0
2003,0.0211420960274002
2004,0.0417514743489379
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0206311055177892
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0204628701221633
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0380956009104849
