Year,Value,Units,Series
2007,2.0708435581234,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2008,4.12694482274772,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2009,0.0,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2010,14.4417738624524,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2011,2.06930088669543,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2012,6.23273014356055,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2013,6.23603388245076,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2014,0.0,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2015,4.09257402443267,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2016,4.04322204364658,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2017,3.98863239766665,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2018,5.89651614171294,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2019,1.93455403693064,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2020,7.61912018209697,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
2021,3.75414128710734,Í tali,Sjálvmorð fyri hvørjar 100.000 íbúgvar
