Year,Value,Units
2010,723.4,Ársverk
2010,1492.8,Fyri hvørjar 10.000 íbúgvar
2011,712.1,Ársverk
2011,1474.2,Fyri hvørjar 10.000 íbúgvar
2012,716.6,Ársverk
2012,1489.7,Fyri hvørjar 10.000 íbúgvar
2013,708.2,Ársverk
2013,1473.1,Fyri hvørjar 10.000 íbúgvar
2014,720.2,Ársverk
2014,1489.4,Fyri hvørjar 10.000 íbúgvar
2015,692.5,Ársverk
2015,1417.8,Fyri hvørjar 10.000 íbúgvar
2016,711.4,Ársverk
2016,1438.8,Fyri hvørjar 10.000 íbúgvar
2017,698.8,Ársverk
2017,1394.1,Fyri hvørjar 10.000 íbúgvar
2018,728.9,Ársverk
2018,1432.9,Fyri hvørjar 10.000 íbúgvar
2019,752.0,Ársverk
2019,1454.9,Fyri hvørjar 10.000 íbúgvar
2020,789.0,Ársverk
2020,1502.9,Fyri hvørjar 10.000 íbúgvar
