Year,Value,Units
1998,817.0,Innlendis tilfarsnýtsla
1998,18.4,Innlendis tilfarsnýtsla fyri hvønn íbúgva
1998,109.5,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
1999,876.2,Innlendis tilfarsnýtsla
1999,19.4,Innlendis tilfarsnýtsla fyri hvønn íbúgva
1999,111.0,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2000,1134.9,Innlendis tilfarsnýtsla
2000,24.8,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2000,131.4,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2001,1171.6,Innlendis tilfarsnýtsla
2001,25.2,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2001,121.1,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2002,1121.0,Innlendis tilfarsnýtsla
2002,23.7,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2002,111.2,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2003,1183.3,Innlendis tilfarsnýtsla
2003,24.7,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2003,119.7,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2004,1141.9,Innlendis tilfarsnýtsla
2004,23.7,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2004,111.6,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2005,1201.5,Innlendis tilfarsnýtsla
2005,24.9,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2005,114.2,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2006,1333.3,Innlendis tilfarsnýtsla
2006,27.7,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2006,111.3,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2007,1565.8,Innlendis tilfarsnýtsla
2007,32.4,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2007,123.3,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2008,1496.3,Innlendis tilfarsnýtsla
2008,30.9,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2008,117.9,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2009,830.0,Innlendis tilfarsnýtsla
2009,17.1,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2009,67.4,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2010,756.4,Innlendis tilfarsnýtsla
2010,15.6,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2010,57.9,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2011,876.7,Innlendis tilfarsnýtsla
2011,18.1,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2011,65.3,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2012,905.2,Innlendis tilfarsnýtsla
2012,18.8,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2012,64.7,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2013,1044.4,Innlendis tilfarsnýtsla
2013,21.7,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2013,69.5,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2014,1407.2,Innlendis tilfarsnýtsla
2014,29.1,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2014,86.4,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2015,1132.6,Innlendis tilfarsnýtsla
2015,23.2,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2015,65.7,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2016,1251.4,Innlendis tilfarsnýtsla
2016,25.3,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2016,66.3,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2017,1524.7,Innlendis tilfarsnýtsla
2017,30.4,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2017,77.8,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2018,1520.7,Innlendis tilfarsnýtsla
2018,29.9,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2018,75.7,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2019,1557.7,Innlendis tilfarsnýtsla
2019,30.1,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2019,71.4,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
2020,1788.9,Innlendis tilfarsnýtsla
2020,34.1,Innlendis tilfarsnýtsla fyri hvønn íbúgva
2020,84.4,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind
