Year,Value,Units,Series
2015,96.0,%,3G fartelefonnet ella betri
2015,58.0,%,4G fartelefonnet ella betri
2016,98.0,%,3G fartelefonnet ella betri
2016,98.0,%,4G fartelefonnet ella betri
2017,99.99,%,3G fartelefonnet ella betri
2017,99.99,%,4G fartelefonnet ella betri
2018,99.99,%,3G fartelefonnet ella betri
2018,99.99,%,4G fartelefonnet ella betri
2019,99.99,%,3G fartelefonnet ella betri
2019,99.99,%,4G fartelefonnet ella betri
2020,100.0,%,3G fartelefonnet ella betri
2020,99.99,%,4G fartelefonnet ella betri
2021,100.0,%,3G fartelefonnet ella betri
2021,100.0,%,4G fartelefonnet ella betri
