"Year","data.levelofgovernment","Value"
"1996","data.localgovernment",16.5
"1998","data.parliament",12.5
"2000","data.localgovernment",22.8
"2002","data.parliament",12.5
"2004","data.localgovernment",22.7
"2004","data.parliament",9.4
"2008","data.localgovernment",30.8
"2008","data.parliament",21.2
"2011","data.parliament",30.3
"2012","data.localgovernment",27.8
"2015","data.parliament",30.3
"2016","data.localgovernment",33.8
"2019","data.parliament",24.2
"2020","data.localgovernment",35.7
