Year,Series,sex,age,Units,Value
2009,SI_POV_NAHC,Total,Total,PCT,4.0
2010,SI_POV_NAHC,Total,Total,PCT,4.2
2011,SI_POV_NAHC,Total,Total,PCT,4.4
2012,SI_POV_NAHC,Total,Total,PCT,4.8
2013,SI_POV_NAHC,Total,Total,PCT,4.0
2014,SI_POV_NAHC,Total,Total,PCT,3.6
2015,SI_POV_NAHC,Total,Total,PCT,3.4
2016,SI_POV_NAHC,Total,Total,PCT,3.2
2017,SI_POV_NAHC,Total,Total,PCT,3.1
2018,SI_POV_NAHC,Total,Total,PCT,3.0
2019,SI_POV_NAHC,Total,Total,PCT,2.7
2020,SI_POV_NAHC,Total,Total,PCT,2.4
2021,SI_POV_NAHC,Total,Total,PCT,2.6
2022,SI_POV_NAHC,Total,Total,PCT,2.5
2009,SI_POV_NAHC,Total,Y0-17,PCT,5.1
2010,SI_POV_NAHC,Total,Y0-17,PCT,5.1
2011,SI_POV_NAHC,Total,Y0-17,PCT,5.6
2012,SI_POV_NAHC,Total,Y0-17,PCT,6.4
2013,SI_POV_NAHC,Total,Y0-17,PCT,5.5
2014,SI_POV_NAHC,Total,Y0-17,PCT,4.9
2015,SI_POV_NAHC,Total,Y0-17,PCT,4.5
2016,SI_POV_NAHC,Total,Y0-17,PCT,4.3
2017,SI_POV_NAHC,Total,Y0-17,PCT,3.8
2018,SI_POV_NAHC,Total,Y0-17,PCT,3.6
2019,SI_POV_NAHC,Total,Y0-17,PCT,3.4
2020,SI_POV_NAHC,Total,Y0-17,PCT,3.2
2021,SI_POV_NAHC,Total,Y0-17,PCT,3.4
2022,SI_POV_NAHC,Total,Y0-17,PCT,3.3
2009,SI_POV_NAHC,Total,Y18-24,PCT,3.8
2010,SI_POV_NAHC,Total,Y18-24,PCT,4.4
2011,SI_POV_NAHC,Total,Y18-24,PCT,5.3
2012,SI_POV_NAHC,Total,Y18-24,PCT,5.8
2013,SI_POV_NAHC,Total,Y18-24,PCT,4.4
2014,SI_POV_NAHC,Total,Y18-24,PCT,4.6
2015,SI_POV_NAHC,Total,Y18-24,PCT,4.1
2016,SI_POV_NAHC,Total,Y18-24,PCT,3.7
2017,SI_POV_NAHC,Total,Y18-24,PCT,3.0
2018,SI_POV_NAHC,Total,Y18-24,PCT,3.5
2019,SI_POV_NAHC,Total,Y18-24,PCT,3.1
2020,SI_POV_NAHC,Total,Y18-24,PCT,2.7
2021,SI_POV_NAHC,Total,Y18-24,PCT,3.4
2022,SI_POV_NAHC,Total,Y18-24,PCT,3.2
2009,SI_POV_NAHC,Total,Y25-54,PCT,3.6
2010,SI_POV_NAHC,Total,Y25-54,PCT,3.9
2011,SI_POV_NAHC,Total,Y25-54,PCT,4.1
2012,SI_POV_NAHC,Total,Y25-54,PCT,4.5
2013,SI_POV_NAHC,Total,Y25-54,PCT,3.6
2014,SI_POV_NAHC,Total,Y25-54,PCT,3.2
2015,SI_POV_NAHC,Total,Y25-54,PCT,3.3
2016,SI_POV_NAHC,Total,Y25-54,PCT,3.1
2017,SI_POV_NAHC,Total,Y25-54,PCT,2.9
2018,SI_POV_NAHC,Total,Y25-54,PCT,2.9
2019,SI_POV_NAHC,Total,Y25-54,PCT,2.7
2020,SI_POV_NAHC,Total,Y25-54,PCT,2.2
2021,SI_POV_NAHC,Total,Y25-54,PCT,2.8
2022,SI_POV_NAHC,Total,Y25-54,PCT,2.8
2009,SI_POV_NAHC,Total,Y55-66,PCT,4.0
2010,SI_POV_NAHC,Total,Y55-66,PCT,3.8
2011,SI_POV_NAHC,Total,Y55-66,PCT,3.8
2012,SI_POV_NAHC,Total,Y55-66,PCT,4.0
2013,SI_POV_NAHC,Total,Y55-66,PCT,3.5
2014,SI_POV_NAHC,Total,Y55-66,PCT,3.2
2015,SI_POV_NAHC,Total,Y55-66,PCT,2.8
2016,SI_POV_NAHC,Total,Y55-66,PCT,2.9
2017,SI_POV_NAHC,Total,Y55-66,PCT,2.8
2018,SI_POV_NAHC,Total,Y55-66,PCT,2.3
2019,SI_POV_NAHC,Total,Y55-66,PCT,2.2
2020,SI_POV_NAHC,Total,Y55-66,PCT,2.0
2021,SI_POV_NAHC,Total,Y55-66,PCT,2.2
2022,SI_POV_NAHC,Total,Y55-66,PCT,2.0
2009,SI_POV_NAHC,Total,Y_GE67,PCT,3.4
2010,SI_POV_NAHC,Total,Y_GE67,PCT,3.3
2011,SI_POV_NAHC,Total,Y_GE67,PCT,3.3
2012,SI_POV_NAHC,Total,Y_GE67,PCT,2.9
2013,SI_POV_NAHC,Total,Y_GE67,PCT,2.3
2014,SI_POV_NAHC,Total,Y_GE67,PCT,2.1
2015,SI_POV_NAHC,Total,Y_GE67,PCT,2.0
2016,SI_POV_NAHC,Total,Y_GE67,PCT,1.9
2017,SI_POV_NAHC,Total,Y_GE67,PCT,2.5
2018,SI_POV_NAHC,Total,Y_GE67,PCT,2.4
2019,SI_POV_NAHC,Total,Y_GE67,PCT,1.5
2020,SI_POV_NAHC,Total,Y_GE67,PCT,1.4
2021,SI_POV_NAHC,Total,Y_GE67,PCT,1.0
2022,SI_POV_NAHC,Total,Y_GE67,PCT,1.0
2009,SI_POV_NAHC,M,Total,PCT,3.9
2010,SI_POV_NAHC,M,Total,PCT,4.0
2011,SI_POV_NAHC,M,Total,PCT,4.2
2012,SI_POV_NAHC,M,Total,PCT,4.7
2013,SI_POV_NAHC,M,Total,PCT,3.7
2014,SI_POV_NAHC,M,Total,PCT,3.4
2015,SI_POV_NAHC,M,Total,PCT,3.3
2016,SI_POV_NAHC,M,Total,PCT,3.1
2017,SI_POV_NAHC,M,Total,PCT,3.0
2018,SI_POV_NAHC,M,Total,PCT,2.9
2019,SI_POV_NAHC,M,Total,PCT,2.4
2020,SI_POV_NAHC,M,Total,PCT,2.1
2021,SI_POV_NAHC,M,Total,PCT,2.6
2022,SI_POV_NAHC,M,Total,PCT,2.4
2009,SI_POV_NAHC,M,Y0-17,PCT,5.0
2010,SI_POV_NAHC,M,Y0-17,PCT,4.8
2011,SI_POV_NAHC,M,Y0-17,PCT,5.2
2012,SI_POV_NAHC,M,Y0-17,PCT,6.5
2013,SI_POV_NAHC,M,Y0-17,PCT,5.3
2014,SI_POV_NAHC,M,Y0-17,PCT,4.7
2015,SI_POV_NAHC,M,Y0-17,PCT,4.1
2016,SI_POV_NAHC,M,Y0-17,PCT,4.2
2017,SI_POV_NAHC,M,Y0-17,PCT,3.8
2018,SI_POV_NAHC,M,Y0-17,PCT,3.7
2019,SI_POV_NAHC,M,Y0-17,PCT,3.0
2020,SI_POV_NAHC,M,Y0-17,PCT,3.0
2021,SI_POV_NAHC,M,Y0-17,PCT,3.2
2022,SI_POV_NAHC,M,Y0-17,PCT,3.4
2009,SI_POV_NAHC,M,Y18-24,PCT,3.0
2010,SI_POV_NAHC,M,Y18-24,PCT,3.2
2011,SI_POV_NAHC,M,Y18-24,PCT,3.5
2012,SI_POV_NAHC,M,Y18-24,PCT,4.1
2013,SI_POV_NAHC,M,Y18-24,PCT,3.0
2014,SI_POV_NAHC,M,Y18-24,PCT,3.4
2015,SI_POV_NAHC,M,Y18-24,PCT,3.2
2016,SI_POV_NAHC,M,Y18-24,PCT,2.7
2017,SI_POV_NAHC,M,Y18-24,PCT,2.1
2018,SI_POV_NAHC,M,Y18-24,PCT,2.8
2019,SI_POV_NAHC,M,Y18-24,PCT,2.3
2020,SI_POV_NAHC,M,Y18-24,PCT,1.7
2021,SI_POV_NAHC,M,Y18-24,PCT,2.6
2022,SI_POV_NAHC,M,Y18-24,PCT,1.8
2009,SI_POV_NAHC,M,Y25-54,PCT,3.2
2010,SI_POV_NAHC,M,Y25-54,PCT,3.7
2011,SI_POV_NAHC,M,Y25-54,PCT,3.9
2012,SI_POV_NAHC,M,Y25-54,PCT,4.1
2013,SI_POV_NAHC,M,Y25-54,PCT,3.2
2014,SI_POV_NAHC,M,Y25-54,PCT,2.8
2015,SI_POV_NAHC,M,Y25-54,PCT,3.1
2016,SI_POV_NAHC,M,Y25-54,PCT,2.8
2017,SI_POV_NAHC,M,Y25-54,PCT,2.8
2018,SI_POV_NAHC,M,Y25-54,PCT,2.8
2019,SI_POV_NAHC,M,Y25-54,PCT,2.4
2020,SI_POV_NAHC,M,Y25-54,PCT,2.0
2021,SI_POV_NAHC,M,Y25-54,PCT,2.7
2022,SI_POV_NAHC,M,Y25-54,PCT,2.7
2009,SI_POV_NAHC,M,Y55-66,PCT,4.6
2010,SI_POV_NAHC,M,Y55-66,PCT,4.4
2011,SI_POV_NAHC,M,Y55-66,PCT,4.4
2012,SI_POV_NAHC,M,Y55-66,PCT,4.6
2013,SI_POV_NAHC,M,Y55-66,PCT,3.9
2014,SI_POV_NAHC,M,Y55-66,PCT,3.7
2015,SI_POV_NAHC,M,Y55-66,PCT,3.4
2016,SI_POV_NAHC,M,Y55-66,PCT,3.3
2017,SI_POV_NAHC,M,Y55-66,PCT,3.2
2018,SI_POV_NAHC,M,Y55-66,PCT,2.6
2019,SI_POV_NAHC,M,Y55-66,PCT,2.5
2020,SI_POV_NAHC,M,Y55-66,PCT,2.3
2021,SI_POV_NAHC,M,Y55-66,PCT,2.7
2022,SI_POV_NAHC,M,Y55-66,PCT,2.4
2009,SI_POV_NAHC,M,Y_GE67,PCT,3.7
2010,SI_POV_NAHC,M,Y_GE67,PCT,3.5
2011,SI_POV_NAHC,M,Y_GE67,PCT,3.2
2012,SI_POV_NAHC,M,Y_GE67,PCT,3.2
2013,SI_POV_NAHC,M,Y_GE67,PCT,2.3
2014,SI_POV_NAHC,M,Y_GE67,PCT,2.1
2015,SI_POV_NAHC,M,Y_GE67,PCT,2.1
2016,SI_POV_NAHC,M,Y_GE67,PCT,1.9
2017,SI_POV_NAHC,M,Y_GE67,PCT,2.2
2018,SI_POV_NAHC,M,Y_GE67,PCT,2.1
2019,SI_POV_NAHC,M,Y_GE67,PCT,1.2
2020,SI_POV_NAHC,M,Y_GE67,PCT,1.1
2021,SI_POV_NAHC,M,Y_GE67,PCT,0.9
2022,SI_POV_NAHC,M,Y_GE67,PCT,0.7
2009,SI_POV_NAHC,F,Total,PCT,4.2
2010,SI_POV_NAHC,F,Total,PCT,4.3
2011,SI_POV_NAHC,F,Total,PCT,4.7
2012,SI_POV_NAHC,F,Total,PCT,5.0
2013,SI_POV_NAHC,F,Total,PCT,4.2
2014,SI_POV_NAHC,F,Total,PCT,3.9
2015,SI_POV_NAHC,F,Total,PCT,3.6
2016,SI_POV_NAHC,F,Total,PCT,3.4
2017,SI_POV_NAHC,F,Total,PCT,3.2
2018,SI_POV_NAHC,F,Total,PCT,3.1
2019,SI_POV_NAHC,F,Total,PCT,3.0
2020,SI_POV_NAHC,F,Total,PCT,2.6
2021,SI_POV_NAHC,F,Total,PCT,2.7
2022,SI_POV_NAHC,F,Total,PCT,2.6
2009,SI_POV_NAHC,F,Y0-17,PCT,5.3
2010,SI_POV_NAHC,F,Y0-17,PCT,5.5
2011,SI_POV_NAHC,F,Y0-17,PCT,6.0
2012,SI_POV_NAHC,F,Y0-17,PCT,6.2
2013,SI_POV_NAHC,F,Y0-17,PCT,5.7
2014,SI_POV_NAHC,F,Y0-17,PCT,5.1
2015,SI_POV_NAHC,F,Y0-17,PCT,5.0
2016,SI_POV_NAHC,F,Y0-17,PCT,4.4
2017,SI_POV_NAHC,F,Y0-17,PCT,3.8
2018,SI_POV_NAHC,F,Y0-17,PCT,3.5
2019,SI_POV_NAHC,F,Y0-17,PCT,3.8
2020,SI_POV_NAHC,F,Y0-17,PCT,3.5
2021,SI_POV_NAHC,F,Y0-17,PCT,3.5
2022,SI_POV_NAHC,F,Y0-17,PCT,3.1
2009,SI_POV_NAHC,F,Y18-24,PCT,4.8
2010,SI_POV_NAHC,F,Y18-24,PCT,5.7
2011,SI_POV_NAHC,F,Y18-24,PCT,7.4
2012,SI_POV_NAHC,F,Y18-24,PCT,7.9
2013,SI_POV_NAHC,F,Y18-24,PCT,6.0
2014,SI_POV_NAHC,F,Y18-24,PCT,6.0
2015,SI_POV_NAHC,F,Y18-24,PCT,5.3
2016,SI_POV_NAHC,F,Y18-24,PCT,4.8
2017,SI_POV_NAHC,F,Y18-24,PCT,4.0
2018,SI_POV_NAHC,F,Y18-24,PCT,4.4
2019,SI_POV_NAHC,F,Y18-24,PCT,4.1
2020,SI_POV_NAHC,F,Y18-24,PCT,3.8
2021,SI_POV_NAHC,F,Y18-24,PCT,4.2
2022,SI_POV_NAHC,F,Y18-24,PCT,4.7
2009,SI_POV_NAHC,F,Y25-54,PCT,4.0
2010,SI_POV_NAHC,F,Y25-54,PCT,4.1
2011,SI_POV_NAHC,F,Y25-54,PCT,4.3
2012,SI_POV_NAHC,F,Y25-54,PCT,5.0
2013,SI_POV_NAHC,F,Y25-54,PCT,4.0
2014,SI_POV_NAHC,F,Y25-54,PCT,3.7
2015,SI_POV_NAHC,F,Y25-54,PCT,3.6
2016,SI_POV_NAHC,F,Y25-54,PCT,3.3
2017,SI_POV_NAHC,F,Y25-54,PCT,3.1
2018,SI_POV_NAHC,F,Y25-54,PCT,3.0
2019,SI_POV_NAHC,F,Y25-54,PCT,3.0
2020,SI_POV_NAHC,F,Y25-54,PCT,2.6
2021,SI_POV_NAHC,F,Y25-54,PCT,2.9
2022,SI_POV_NAHC,F,Y25-54,PCT,2.9
2009,SI_POV_NAHC,F,Y55-66,PCT,3.4
2010,SI_POV_NAHC,F,Y55-66,PCT,3.2
2011,SI_POV_NAHC,F,Y55-66,PCT,3.1
2012,SI_POV_NAHC,F,Y55-66,PCT,3.4
2013,SI_POV_NAHC,F,Y55-66,PCT,3.0
2014,SI_POV_NAHC,F,Y55-66,PCT,2.8
2015,SI_POV_NAHC,F,Y55-66,PCT,2.2
2016,SI_POV_NAHC,F,Y55-66,PCT,2.4
2017,SI_POV_NAHC,F,Y55-66,PCT,2.4
2018,SI_POV_NAHC,F,Y55-66,PCT,2.1
2019,SI_POV_NAHC,F,Y55-66,PCT,1.9
2020,SI_POV_NAHC,F,Y55-66,PCT,1.7
2021,SI_POV_NAHC,F,Y55-66,PCT,1.7
2022,SI_POV_NAHC,F,Y55-66,PCT,1.6
2009,SI_POV_NAHC,F,Y_GE67,PCT,3.2
2010,SI_POV_NAHC,F,Y_GE67,PCT,3.1
2011,SI_POV_NAHC,F,Y_GE67,PCT,3.4
2012,SI_POV_NAHC,F,Y_GE67,PCT,2.6
2013,SI_POV_NAHC,F,Y_GE67,PCT,2.3
2014,SI_POV_NAHC,F,Y_GE67,PCT,2.1
2015,SI_POV_NAHC,F,Y_GE67,PCT,2.0
2016,SI_POV_NAHC,F,Y_GE67,PCT,1.9
2017,SI_POV_NAHC,F,Y_GE67,PCT,2.9
2018,SI_POV_NAHC,F,Y_GE67,PCT,2.7
2019,SI_POV_NAHC,F,Y_GE67,PCT,1.8
2020,SI_POV_NAHC,F,Y_GE67,PCT,1.6
2021,SI_POV_NAHC,F,Y_GE67,PCT,1.2
2022,SI_POV_NAHC,F,Y_GE67,PCT,1.2
