Year,Series,essential service,Units,Value
1998,TOT_GOV_SPEND,,PCT,60.34
1999,TOT_GOV_SPEND,,PCT,61.61
2000,TOT_GOV_SPEND,,PCT,60.18
2001,TOT_GOV_SPEND,,PCT,60.35
2002,TOT_GOV_SPEND,,PCT,60.25
2003,TOT_GOV_SPEND,,PCT,62.56
2004,TOT_GOV_SPEND,,PCT,62.32
2005,TOT_GOV_SPEND,,PCT,63.56
2006,TOT_GOV_SPEND,,PCT,62.96
2007,TOT_GOV_SPEND,,PCT,64.35
2008,TOT_GOV_SPEND,,PCT,64.84
2009,TOT_GOV_SPEND,,PCT,67.25
2010,TOT_GOV_SPEND,,PCT,69.18
2011,TOT_GOV_SPEND,,PCT,68.39
2012,TOT_GOV_SPEND,,PCT,66.52
2013,TOT_GOV_SPEND,,PCT,65.53
2014,TOT_GOV_SPEND,,PCT,65.76
2015,TOT_GOV_SPEND,,PCT,65.23
2016,TOT_GOV_SPEND,,PCT,65.01
2017,TOT_GOV_SPEND,,PCT,63.95
2018,TOT_GOV_SPEND,,PCT,61.94
2019,TOT_GOV_SPEND,,PCT,61.82
2020,TOT_GOV_SPEND,,PCT,62.69
2021,TOT_GOV_SPEND,,PCT,64.46
2022,TOT_GOV_SPEND,,PCT,63.51
1998,TOT_GOV_SPEND,SD_XPD_ESED,PCT,12.42
1999,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.33
2000,TOT_GOV_SPEND,SD_XPD_ESED,PCT,12.89
2001,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.8
2002,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.75
2003,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.81
2004,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.4
2005,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.9
2006,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.78
2007,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.77
2008,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.33
2009,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.7
2010,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.75
2011,TOT_GOV_SPEND,SD_XPD_ESED,PCT,14.48
2012,TOT_GOV_SPEND,SD_XPD_ESED,PCT,14.2
2013,TOT_GOV_SPEND,SD_XPD_ESED,PCT,14.28
2014,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.89
2015,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.81
2016,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.61
2017,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.89
2018,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.52
2019,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.63
2020,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.76
2021,TOT_GOV_SPEND,SD_XPD_ESED,PCT,15.65
2022,TOT_GOV_SPEND,SD_XPD_ESED,PCT,14.35
1998,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,12.75
1999,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.72
2000,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.64
2001,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.94
2002,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.61
2003,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.33
2004,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.36
2005,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.22
2006,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.9
2007,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.77
2008,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,18.06
2009,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.47
2010,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.49
2011,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,15.4
2012,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.41
2013,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,15.47
2014,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.54
2015,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,15.76
2016,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,15.99
2017,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.34
