Year,data.source,Series,Units,Value
2002,data.police,,,0.0
2002,data.chiefmedicalofficer,,,..
2003,data.police,,,0.0
2003,data.chiefmedicalofficer,,,..
2004,data.police,,,0.0
2004,data.chiefmedicalofficer,,,..
2005,data.police,,,0.0
2005,data.chiefmedicalofficer,,,..
2006,data.police,,,0.0
2006,data.chiefmedicalofficer,,,..
2007,data.police,,,0.0
2007,data.chiefmedicalofficer,,,0.0
2008,data.police,,,0.0
2008,data.chiefmedicalofficer,,,0.0
2009,data.police,,,0.0
2009,data.chiefmedicalofficer,,,0.0
2010,data.police,,,0.0
2010,data.chiefmedicalofficer,,,0.0
2011,data.police,,,4.1
2011,data.chiefmedicalofficer,,,0.0
2012,data.police,,,0.0
2012,data.chiefmedicalofficer,,,0.0
2013,data.police,,,2.1
2013,data.chiefmedicalofficer,,,2.1
2014,data.police,,,2.1
2014,data.chiefmedicalofficer,,,4.1
2015,data.police,,,0.0
2015,data.chiefmedicalofficer,,,0.0
2016,data.police,,,0.0
2016,data.chiefmedicalofficer,,,0.0
2017,data.police,,,0.0
2017,data.chiefmedicalofficer,,,0.0
2018,data.police,,,0.0
2018,data.chiefmedicalofficer,,,0.0
2019,data.police,,,0.0
2019,data.chiefmedicalofficer,,,0.0
2020,data.police,,,0.0
2020,data.chiefmedicalofficer,,,0.0
2021,data.police,,,
2021,data.chiefmedicalofficer,,,0.0
2002,,CRIM,VC_IHR_PSRC,0.0
2003,,CRIM,VC_IHR_PSRC,0.0
2004,,CRIM,VC_IHR_PSRC,0.0
2005,,CRIM,VC_IHR_PSRC,0.0
2006,,CRIM,VC_IHR_PSRC,0.0
2007,,CRIM,VC_IHR_PSRC,0.0
2007,,HEALTH,VC_IHR_PSRC,0.0
2008,,CRIM,VC_IHR_PSRC,0.0
2008,,HEALTH,VC_IHR_PSRC,0.0
2009,,CRIM,VC_IHR_PSRC,0.0
2009,,HEALTH,VC_IHR_PSRC,0.0
2010,,CRIM,VC_IHR_PSRC,0.0
2010,,HEALTH,VC_IHR_PSRC,0.0
2011,,CRIM,VC_IHR_PSRC,4.13860177339086
2011,,HEALTH,VC_IHR_PSRC,0.0
2012,,CRIM,VC_IHR_PSRC,0.0
2012,,HEALTH,VC_IHR_PSRC,0.0
2013,,CRIM,VC_IHR_PSRC,2.07867796081692
2013,,HEALTH,VC_IHR_PSRC,2.07867796081692
2014,,CRIM,VC_IHR_PSRC,2.06675622610313
2014,,HEALTH,VC_IHR_PSRC,4.13351245220626
2015,,CRIM,VC_IHR_PSRC,0.0
2015,,HEALTH,VC_IHR_PSRC,0.0
2016,,CRIM,VC_IHR_PSRC,0.0
2016,,HEALTH,VC_IHR_PSRC,0.0
2017,,CRIM,VC_IHR_PSRC,0.0
2017,,HEALTH,VC_IHR_PSRC,0.0
2018,,CRIM,VC_IHR_PSRC,0.0
2018,,HEALTH,VC_IHR_PSRC,0.0
2019,,CRIM,VC_IHR_PSRC,0.0
2019,,HEALTH,VC_IHR_PSRC,0.0
2020,,CRIM,VC_IHR_PSRC,0.0
2020,,HEALTH,VC_IHR_PSRC,0.0
2021,,HEALTH,VC_IHR_PSRC,0.0
