Year,Units,Series,type of product,Value
2000,PCT,TM_TAX_DMFN,ALP,3.65506
2000,PCT,TM_TAX_DPRF,ALP,3.70643
2000,PCT,TM_TAX_DPRF,AGR,8.32544
2000,PCT,TM_TAX_DPRF,CLO,3.35061
2000,PCT,TM_TAX_DPRF,IND,2.2445
2000,PCT,TM_TAX_DPRF,TEX,7.43054
2000,PCT,TM_TAX_DPRF,ARM,7.44748
2001,PCT,TM_TAX_DMFN,ALP,8.80365
2001,PCT,TM_TAX_DPRF,ALP,8.0242
2001,PCT,TM_TAX_DPRF,AGR,3.91215
2001,PCT,TM_TAX_DPRF,CLO,12.17244
2001,PCT,TM_TAX_DPRF,IND,3.96325
2001,PCT,TM_TAX_DPRF,TEX,2.0646
2001,PCT,TM_TAX_DPRF,ARM,1.90099
2002,PCT,TM_TAX_DMFN,ALP,3.43279
2002,PCT,TM_TAX_DPRF,ALP,3.48906
2002,PCT,TM_TAX_DPRF,AGR,2.33854
2002,PCT,TM_TAX_DPRF,CLO,7.45742
2002,PCT,TM_TAX_DPRF,TEX,6.83645
2002,PCT,TM_TAX_DPRF,OIL,3.42533
2002,PCT,TM_TAX_DPRF,ARM,8.23943
2003,PCT,TM_TAX_DMFN,ALP,12.95968
2003,PCT,TM_TAX_DPRF,ALP,12.17185
2003,PCT,TM_TAX_DPRF,AGR,3.91215
2003,PCT,TM_TAX_DPRF,CLO,2.40286
2003,PCT,TM_TAX_DPRF,TEX,1.86034
2003,PCT,TM_TAX_DPRF,OIL,7.86063
2003,PCT,TM_TAX_DPRF,ARM,3.96339
2004,PCT,TM_TAX_DMFN,ALP,8.68377
2004,PCT,TM_TAX_DMFN,IND,3.6273
2004,PCT,TM_TAX_DPRF,ALP,7.46877
2004,PCT,TM_TAX_DPRF,CLO,7.06618
2004,PCT,TM_TAX_DPRF,IND,3.74558
2004,PCT,TM_TAX_DPRF,TEX,8.16649
2004,PCT,TM_TAX_DPRF,OIL,3.27275
2004,PCT,TM_TAX_DPRF,ARM,1.90099
2005,PCT,TM_TAX_DMFN,ALP,3.6469
2005,PCT,TM_TAX_DMFN,IND,7.72954
2005,PCT,TM_TAX_DPRF,ALP,2.22964
2005,PCT,TM_TAX_DPRF,CLO,2.23841
2005,PCT,TM_TAX_DPRF,IND,7.29789
2005,PCT,TM_TAX_DPRF,TEX,3.8777
2005,PCT,TM_TAX_DPRF,OIL,12.06698
2005,PCT,TM_TAX_DPRF,ARM,3.96339
2006,PCT,TM_TAX_DMFN,ALP,8.80333
2006,PCT,TM_TAX_DMFN,IND,3.41948
2006,PCT,TM_TAX_DPRF,ALP,7.61532
2006,PCT,TM_TAX_DPRF,AGR,3.50824
2006,PCT,TM_TAX_DPRF,CLO,8.34489
2006,PCT,TM_TAX_DPRF,IND,3.58463
2006,PCT,TM_TAX_DPRF,TEX,1.86034
2006,PCT,TM_TAX_DPRF,OIL,7.51676
2007,PCT,TM_TAX_DMFN,ALP,3.42459
2007,PCT,TM_TAX_DMFN,IND,12.31428
2007,PCT,TM_TAX_DPRF,ALP,2.01586
2007,PCT,TM_TAX_DPRF,AGR,7.62437
2007,PCT,TM_TAX_DPRF,CLO,3.90643
2007,PCT,TM_TAX_DPRF,IND,12.0693
2007,PCT,TM_TAX_DPRF,TEX,3.8777
2007,PCT,TM_TAX_DPRF,OIL,2.0788
2008,PCT,TM_TAX_DMFN,ALP,12.70205
2008,PCT,TM_TAX_DMFN,IND,7.12526
2008,PCT,TM_TAX_DMFN,ARM,3.63485
2008,PCT,TM_TAX_DPRF,ALP,8.33886
2008,PCT,TM_TAX_DPRF,AGR,3.34706
2008,PCT,TM_TAX_DPRF,CLO,2.23841
2008,PCT,TM_TAX_DPRF,IND,7.51602
2008,PCT,TM_TAX_DPRF,OIL,7.45184
2008,PCT,TM_TAX_DPRF,ARM,3.60495
2009,PCT,TM_TAX_DMFN,ALP,8.43693
2009,PCT,TM_TAX_DMFN,IND,2.19914
2009,PCT,TM_TAX_DMFN,ARM,8.0428
2009,PCT,TM_TAX_DPRF,ALP,3.91534
2009,PCT,TM_TAX_DPRF,AGR,12.14938
2009,PCT,TM_TAX_DPRF,CLO,3.90643
2009,PCT,TM_TAX_DPRF,IND,2.43505
2009,PCT,TM_TAX_DPRF,OIL,1.86288
2009,PCT,TM_TAX_DPRF,ARM,7.72066
2010,PCT,TM_TAX_DMFN,ALP,3.42459
2010,PCT,TM_TAX_DMFN,IND,7.72797
2010,PCT,TM_TAX_DMFN,ARM,3.41774
2010,PCT,TM_TAX_DPRF,ALP,2.01586
2010,PCT,TM_TAX_DPRF,AGR,7.45716
2010,PCT,TM_TAX_DPRF,IND,6.8891
2010,PCT,TM_TAX_DPRF,TEX,3.41989
2010,PCT,TM_TAX_DPRF,OIL,8.23943
2010,PCT,TM_TAX_DPRF,ARM,3.42736
2011,PCT,TM_TAX_DMFN,ALP,8.43693
2011,PCT,TM_TAX_DMFN,IND,1.99135
2011,PCT,TM_TAX_DMFN,ARM,12.18176
2011,PCT,TM_TAX_DPRF,ALP,3.91534
2011,PCT,TM_TAX_DPRF,AGR,2.40118
2011,PCT,TM_TAX_DPRF,IND,2.27181
2011,PCT,TM_TAX_DPRF,TEX,7.56616
2011,PCT,TM_TAX_DPRF,OIL,3.96339
2011,PCT,TM_TAX_DPRF,ARM,12.06696
2012,PCT,TM_TAX_DMFN,IND,8.48158
2012,PCT,TM_TAX_DMFN,ARM,7.47911
2012,PCT,TM_TAX_DPRF,AGR,7.21558
2012,PCT,TM_TAX_DPRF,CLO,3.51769
2012,PCT,TM_TAX_DPRF,IND,8.24607
2012,PCT,TM_TAX_DPRF,TEX,3.2733
2012,PCT,TM_TAX_DPRF,OIL,1.86288
2012,PCT,TM_TAX_DPRF,ARM,7.50799
2013,PCT,TM_TAX_DMFN,IND,3.61837
2013,PCT,TM_TAX_DMFN,ARM,2.20609
2013,PCT,TM_TAX_DPRF,AGR,2.23448
2013,PCT,TM_TAX_DPRF,CLO,7.49128
2013,PCT,TM_TAX_DPRF,IND,3.96318
2013,PCT,TM_TAX_DPRF,TEX,12.06622
2013,PCT,TM_TAX_DPRF,OIL,3.96339
2013,PCT,TM_TAX_DPRF,ARM,2.12522
2014,PCT,TM_TAX_DMFN,IND,1.99135
2014,PCT,TM_TAX_DMFN,ARM,7.63392
2014,PCT,TM_TAX_DPRF,ALP,3.77731
2014,PCT,TM_TAX_DPRF,AGR,8.3189
2014,PCT,TM_TAX_DPRF,CLO,3.35744
2014,PCT,TM_TAX_DPRF,IND,2.27181
2014,PCT,TM_TAX_DPRF,TEX,7.51606
2014,PCT,TM_TAX_DPRF,ARM,7.26329
2015,PCT,TM_TAX_DMFN,IND,3.61837
2015,PCT,TM_TAX_DMFN,ARM,1.99218
2015,PCT,TM_TAX_DPRF,ALP,7.77933
2015,PCT,TM_TAX_DPRF,AGR,3.90378
2015,PCT,TM_TAX_DPRF,CLO,12.07361
2015,PCT,TM_TAX_DPRF,IND,3.96318
2015,PCT,TM_TAX_DPRF,TEX,2.07275
2015,PCT,TM_TAX_DPRF,ARM,1.90874
2016,PCT,TM_TAX_DMFN,ARM,8.3488
2016,PCT,TM_TAX_DPRF,ALP,3.60596
2016,PCT,TM_TAX_DPRF,AGR,2.23448
2016,PCT,TM_TAX_DPRF,CLO,7.51423
2016,PCT,TM_TAX_DPRF,TEX,7.15737
2016,PCT,TM_TAX_DPRF,OIL,3.61779
2016,PCT,TM_TAX_DPRF,ARM,8.23941
2017,PCT,TM_TAX_DMFN,ARM,3.92568
2017,PCT,TM_TAX_DPRF,ALP,12.1584
2017,PCT,TM_TAX_DPRF,AGR,3.90378
2017,PCT,TM_TAX_DPRF,CLO,2.41033
2017,PCT,TM_TAX_DPRF,TEX,1.86302
2017,PCT,TM_TAX_DPRF,OIL,7.90485
2017,PCT,TM_TAX_DPRF,ARM,3.96394
2018,PCT,TM_TAX_DMFN,ARM,1.99218
2018,PCT,TM_TAX_DPRF,ALP,7.46554
2018,PCT,TM_TAX_DPRF,CLO,7.08249
2018,PCT,TM_TAX_DPRF,IND,3.41307
2018,PCT,TM_TAX_DPRF,TEX,8.23867
2018,PCT,TM_TAX_DPRF,OIL,3.43681
2019,PCT,TM_TAX_DMFN,ARM,3.92568
2019,PCT,TM_TAX_DPRF,ALP,2.50533
2019,PCT,TM_TAX_DPRF,CLO,2.2445
2019,PCT,TM_TAX_DPRF,IND,7.24525
2019,PCT,TM_TAX_DPRF,TEX,3.96319
2019,PCT,TM_TAX_DPRF,OIL,12.0621
2020,PCT,TM_TAX_DPRF,ALP,7.37054
2020,PCT,TM_TAX_DPRF,AGR,3.5094
2020,PCT,TM_TAX_DPRF,CLO,8.24606
2020,PCT,TM_TAX_DPRF,IND,3.27166
2020,PCT,TM_TAX_DPRF,TEX,1.86302
2020,PCT,TM_TAX_DPRF,OIL,7.50734
2021,PCT,TM_TAX_DPRF,ALP,2.33854
2021,PCT,TM_TAX_DPRF,AGR,7.47497
2021,PCT,TM_TAX_DPRF,CLO,3.96325
2021,PCT,TM_TAX_DPRF,IND,11.98973
2021,PCT,TM_TAX_DPRF,TEX,3.96319
2021,PCT,TM_TAX_DPRF,OIL,2.12326
