Year,Units,Series,data.measure,Value
1997,PCT,SG_STT_CAPTY,,0
1998,PCT,SG_STT_CAPTY,,0
1999,PCT,SG_STT_CAPTY,,0
2000,PCT,SG_STT_CAPTY,,0
2001,PCT,SG_STT_CAPTY,,0
2002,PCT,SG_STT_CAPTY,,0
2003,PCT,SG_STT_CAPTY,,0
2004,PCT,SG_STT_CAPTY,,0
2005,PCT,SG_STT_CAPTY,,0
2006,PCT,SG_STT_CAPTY,,0
2007,PCT,SG_STT_CAPTY,,0
2008,PCT,SG_STT_CAPTY,,0
2009,PCT,SG_STT_CAPTY,,0
2010,PCT,SG_STT_CAPTY,,0
2011,PCT,SG_STT_CAPTY,,0
2012,PCT,SG_STT_CAPTY,,0
2013,PCT,SG_STT_CAPTY,,0
2014,PCT,SG_STT_CAPTY,,0
2015,PCT,SG_STT_CAPTY,,0
2016,PCT,SG_STT_CAPTY,,0
2017,PCT,SG_STT_CAPTY,,0
2018,PCT,SG_STT_CAPTY,,0
2019,PCT,SG_STT_CAPTY,,0
2020,PCT,SG_STT_CAPTY,,0
2021,PCT,SG_STT_CAPTY,,0
2022,PCT,SG_STT_CAPTY,,0
1997,,,data.netofficialdevelopmentassistance,0
1998,,,data.netofficialdevelopmentassistance,0
1999,,,data.netofficialdevelopmentassistance,0
2000,,,data.netofficialdevelopmentassistance,0
2001,,,data.netofficialdevelopmentassistance,0
2002,,,data.netofficialdevelopmentassistance,0
2003,,,data.netofficialdevelopmentassistance,0
2004,,,data.netofficialdevelopmentassistance,0
2005,,,data.netofficialdevelopmentassistance,0
2006,,,data.netofficialdevelopmentassistance,0
2007,,,data.netofficialdevelopmentassistance,0
2008,,,data.netofficialdevelopmentassistance,0
2009,,,data.netofficialdevelopmentassistance,0
2010,,,data.netofficialdevelopmentassistance,0
2011,,,data.netofficialdevelopmentassistance,0
2012,,,data.netofficialdevelopmentassistance,0
2013,,,data.netofficialdevelopmentassistance,0
2014,,,data.netofficialdevelopmentassistance,0
2015,,,data.netofficialdevelopmentassistance,0
2016,,,data.netofficialdevelopmentassistance,0
2017,,,data.netofficialdevelopmentassistance,0
2018,,,data.netofficialdevelopmentassistance,0
2019,,,data.netofficialdevelopmentassistance,0
2020,,,data.netofficialdevelopmentassistance,0
2021,,,data.netofficialdevelopmentassistance,0
2022,,,data.netofficialdevelopmentassistance,0
