Year,Units,Series,sex,Value
2003,PCT,SH_PRV_SMOK,,41
2004,PCT,SH_PRV_SMOK,,36
2005,PCT,SH_PRV_SMOK,,32
2006,PCT,SH_PRV_SMOK,,33
2006,PCT,SH_PRV_SMOK,M,31
2006,PCT,SH_PRV_SMOK,F,34
2007,PCT,SH_PRV_SMOK,,28
2007,PCT,SH_PRV_SMOK,M,26
2007,PCT,SH_PRV_SMOK,F,31
2008,PCT,SH_PRV_SMOK,,33
2008,PCT,SH_PRV_SMOK,M,37
2008,PCT,SH_PRV_SMOK,F,28
2009,PCT,SH_PRV_SMOK,,34
2009,PCT,SH_PRV_SMOK,M,36
2009,PCT,SH_PRV_SMOK,F,32
2010,PCT,SH_PRV_SMOK,,27
2010,PCT,SH_PRV_SMOK,M,25
2010,PCT,SH_PRV_SMOK,F,29
2011,PCT,SH_PRV_SMOK,,34
2011,PCT,SH_PRV_SMOK,M,36
2011,PCT,SH_PRV_SMOK,F,32
2012,PCT,SH_PRV_SMOK,,29
2012,PCT,SH_PRV_SMOK,M,28
2012,PCT,SH_PRV_SMOK,F,31
2013,PCT,SH_PRV_SMOK,,33
2013,PCT,SH_PRV_SMOK,M,33
2013,PCT,SH_PRV_SMOK,F,32
2014,PCT,SH_PRV_SMOK,,27
2014,PCT,SH_PRV_SMOK,M,30
2014,PCT,SH_PRV_SMOK,F,23
2015,PCT,SH_PRV_SMOK,,27
2015,PCT,SH_PRV_SMOK,M,26
2015,PCT,SH_PRV_SMOK,F,29
2016,PCT,SH_PRV_SMOK,,34
2016,PCT,SH_PRV_SMOK,M,38
2016,PCT,SH_PRV_SMOK,F,29
2017,PCT,SH_PRV_SMOK,,27
2017,PCT,SH_PRV_SMOK,M,27
2017,PCT,SH_PRV_SMOK,F,26
2018,PCT,SH_PRV_SMOK,,26
2018,PCT,SH_PRV_SMOK,M,29
2018,PCT,SH_PRV_SMOK,F,21
2019,PCT,SH_PRV_SMOK,,29
2019,PCT,SH_PRV_SMOK,M,30
2019,PCT,SH_PRV_SMOK,F,28
2020,PCT,SH_PRV_SMOK,,31
2020,PCT,SH_PRV_SMOK,M,33
2020,PCT,SH_PRV_SMOK,F,28
2021,PCT,SH_PRV_SMOK,,26
2021,PCT,SH_PRV_SMOK,M,28
2021,PCT,SH_PRV_SMOK,F,24
2022,PCT,SH_PRV_SMOK,,27
2022,PCT,SH_PRV_SMOK,M,29
2022,PCT,SH_PRV_SMOK,F,25
