Year,Units,Series,sex,Value
2015,PCT,SE_PRE_PARTN,Total,92.571428571429
2015,PCT,SE_PRE_PARTN,M,92.91553133515
2015,PCT,SE_PRE_PARTN,F,92.192192192192
2016,PCT,SE_PRE_PARTN,Total,93.082706766917
2016,PCT,SE_PRE_PARTN,M,91.168091168091
2016,PCT,SE_PRE_PARTN,F,95.222929936306
2017,PCT,SE_PRE_PARTN,Total,101.144492131617
2017,PCT,SE_PRE_PARTN,M,106.779661016949
2017,PCT,SE_PRE_PARTN,F,95.36231884058
2019,PCT,SE_PRE_PARTN,Total,99.572039942939
2019,PCT,SE_PRE_PARTN,M,95.135135135135
2019,PCT,SE_PRE_PARTN,F,104.531722054381
2020,PCT,SE_PRE_PARTN,Total,96.148555708391
2020,PCT,SE_PRE_PARTN,M,95.800524934383
2020,PCT,SE_PRE_PARTN,F,96.531791907514
2021,PCT,SE_PRE_PARTN,Total,99.588477366255
2021,PCT,SE_PRE_PARTN,M,96.961325966851
2021,PCT,SE_PRE_PARTN,F,102.179836512262
