Year,Units,Series,Value
2009,PCT,NY_GDP_P_EMPL_CAP,0.5570583926424
2010,PCT,NY_GDP_P_EMPL_CAP,3.50864598744762
2011,PCT,NY_GDP_P_EMPL_CAP,7.0553584911996
2012,PCT,NY_GDP_P_EMPL_CAP,-1.62392092054314
2013,PCT,NY_GDP_P_EMPL_CAP,7.33167927297485
2014,PCT,NY_GDP_P_EMPL_CAP,3.95279199081768
2015,PCT,NY_GDP_P_EMPL_CAP,-1.75654995031878
2016,PCT,NY_GDP_P_EMPL_CAP,1.33677828546925
2017,PCT,NY_GDP_P_EMPL_CAP,1.51210757677327
2018,PCT,NY_GDP_P_EMPL_CAP,-1.7250994227059
2019,PCT,NY_GDP_P_EMPL_CAP,2.07302678719263
2020,PCT,NY_GDP_P_EMPL_CAP,-1.73808003039708
2021,PCT,NY_GDP_P_EMPL_CAP,5.28530961572886
2022,PCT,NY_GDP_P_EMPL_CAP,0.66196028959682
2023,PCT,NY_GDP_P_EMPL_CAP,2.43498425213842
