Year,Series,age,Units,sex,data.age,data.sex,Value
2011,SL_TLF_NEET,Y15-24,PCT,,,,4.40759001942328
2011,SL_TLF_NEET,Y15-24,PCT,M,,,4.18746533555186
2011,SL_TLF_NEET,Y15-24,PCT,F,,,4.66472303206997
2011,SL_TLF_NEET,Y15-19,PCT,,,,2.99450549450549
2011,SL_TLF_NEET,Y15-19,PCT,M,,,3.18230852211435
2011,SL_TLF_NEET,Y15-19,PCT,F,,,2.79955207166853
2011,SL_TLF_NEET,Y20-24,PCT,,,,6.09236816246315
2011,SL_TLF_NEET,Y20-24,PCT,M,,,5.25114155251142
2011,SL_TLF_NEET,Y20-24,PCT,F,,,7.22521137586472
2017,SL_TLF_NEET,Y15-24,PCT,,,,2.34484914803814
2018,SL_TLF_NEET,Y15-24,PCT,,,,5.19117189928505
2019,SL_TLF_NEET,Y15-24,PCT,,,,9.89948218093207
2020,SL_TLF_NEET,Y15-24,PCT,,,,7.42065265981225
2021,SL_TLF_NEET,Y15-24,PCT,,,,4.39253709416777
2011,,,,,data.15-24years,,4.4
2011,,,,,data.15-24years,data.male,4.2
2011,,,,,data.15-24years,data.female,4.7
2011,,,,,data.15-19years,,3.0
2011,,,,,data.15-19years,data.male,3.2
2011,,,,,data.15-19years,data.female,2.8
2011,,,,,data.20-24years,,6.1
2011,,,,,data.20-24years,data.male,5.3
2011,,,,,data.20-24years,data.female,7.2
2017,,,,,data.15-24years,,2.3
2018,,,,,data.15-24years,,5.2
2019,,,,,data.15-24years,,9.9
2020,,,,,data.15-24years,,7.4
2021,,,,,data.15-24years,,4.4
