Year,outcome,Units,Series,sex,data.outcome,data.sex,Value
2009,SL_EMP_INJUR,NO,PERS,,,,140.0
2009,SL_EMP_INJUR,NO,PERS,M,,,72.0
2009,SL_EMP_INJUR,NO,PERS,F,,,68.0
2009,SL_EMP_INJUR,NO,PR_EMP,,,,510.613465606536
2009,SL_EMP_INJUR,NO,PR_EMP,M,,,485.436893203884
2009,SL_EMP_INJUR,NO,PR_EMP,F,,,540.282853964723
2010,SL_EMP_INJUR,NO,PERS,,,,83.0
2010,SL_EMP_INJUR,NO,PERS,M,,,41.0
2010,SL_EMP_INJUR,NO,PERS,F,,,42.0
2010,SL_EMP_INJUR,NO,PR_EMP,,,,314.536910716993
2010,SL_EMP_INJUR,NO,PR_EMP,M,,,276.298941977222
2010,SL_EMP_INJUR,NO,PR_EMP,F,,,363.667850030306
2011,SL_EMP_INJUR,NO,PERS,,,,127.0
2011,SL_EMP_INJUR,NO,PERS,M,,,65.0
2011,SL_EMP_INJUR,NO,PERS,F,,,62.0
2011,SL_EMP_INJUR,NO,PR_EMP,,,,497.492948918834
2011,SL_EMP_INJUR,NO,PR_EMP,M,,,469.449660551784
2011,SL_EMP_INJUR,NO,PR_EMP,F,,,530.731039205616
2012,SL_EMP_INJUR,NO,PERS,,,,126.0
2012,SL_EMP_INJUR,NO,PERS,M,,,69.0
2012,SL_EMP_INJUR,NO,PERS,F,,,57.0
2012,SL_EMP_INJUR,NO,PR_EMP,,,,453.44945478101295
2012,SL_EMP_INJUR,NO,PR_EMP,M,,,464.08393866021
2012,SL_EMP_INJUR,NO,PR_EMP,F,,,441.210620017029
2013,SL_EMP_INJUR,NO,PERS,,,,144.0
2013,SL_EMP_INJUR,NO,PERS,M,,,68.0
2013,SL_EMP_INJUR,NO,PERS,F,,,76.0
2013,SL_EMP_INJUR,NO,PR_EMP,,,,525.451559934319
2013,SL_EMP_INJUR,NO,PR_EMP,M,,,450.092666137146
2013,SL_EMP_INJUR,NO,PR_EMP,F,,,618.087182823682
2014,SL_EMP_INJUR,NO,PERS,,,,167.0
2014,SL_EMP_INJUR,NO,PERS,M,,,76.0
2014,SL_EMP_INJUR,NO,PERS,F,,,91.0
2014,SL_EMP_INJUR,NO,PR_EMP,,,,600.827486958086
2014,SL_EMP_INJUR,NO,PR_EMP,M,,,498.327978493214
2014,SL_EMP_INJUR,NO,PR_EMP,F,,,725.446428571428
2015,SL_EMP_INJUR,NO,PERS,,,,188.0
2015,SL_EMP_INJUR,NO,PERS,M,,,114.0
2015,SL_EMP_INJUR,NO,PERS,F,,,74.0
2015,SL_EMP_INJUR,NO,PR_EMP,,,,658.1941672793471
2015,SL_EMP_INJUR,NO,PR_EMP,M,,,736.957786540824
2015,SL_EMP_INJUR,NO,PR_EMP,F,,,565.144340919505
2016,SL_EMP_INJUR,NO,PERS,,,,184.0
2016,SL_EMP_INJUR,NO,PERS,M,,,108.0
2016,SL_EMP_INJUR,NO,PERS,F,,,76.0
2016,SL_EMP_INJUR,NO,PR_EMP,,,,643.874444483326
2016,SL_EMP_INJUR,NO,PR_EMP,M,,,701.663201663202
2016,SL_EMP_INJUR,NO,PR_EMP,F,,,576.412590064467
2017,SL_EMP_INJUR,NO,PERS,,,,178.0
2017,SL_EMP_INJUR,NO,PERS,M,,,122.0
2017,SL_EMP_INJUR,NO,PERS,F,,,56.0
2017,SL_EMP_INJUR,NO,PR_EMP,,,,610.844200411805
2017,SL_EMP_INJUR,NO,PR_EMP,M,,,782.452539763982
2017,SL_EMP_INJUR,NO,PR_EMP,F,,,413.345143194568
2018,SL_EMP_INJUR,NO,PERS,,,,215.0
2018,SL_EMP_INJUR,NO,PERS,M,,,131.0
2018,SL_EMP_INJUR,NO,PERS,F,,,84.0
2018,SL_EMP_INJUR,NO,PR_EMP,,,,705.588920613042
2018,SL_EMP_INJUR,NO,PR_EMP,M,,,795.1924244263689
2018,SL_EMP_INJUR,NO,PR_EMP,F,,,600.128598985497
2019,SL_EMP_INJUR,NO,PERS,,,,226.0
2019,SL_EMP_INJUR,NO,PERS,M,,,119.0
2019,SL_EMP_INJUR,NO,PERS,F,,,107.0
2019,SL_EMP_INJUR,NO,PR_EMP,,,,724.1964943762621
2019,SL_EMP_INJUR,NO,PR_EMP,M,,,708.797426886652
2019,SL_EMP_INJUR,NO,PR_EMP,F,,,742.127895685948
2020,SL_EMP_INJUR,NO,PERS,,,,170.0
2020,SL_EMP_INJUR,NO,PERS,M,,,100.0
2020,SL_EMP_INJUR,NO,PERS,F,,,70.0
2020,SL_EMP_INJUR,NO,PR_EMP,,,,544.19155542751
