Year,Series,Units,Value
1998,NV_IND_MANFPC,DKKPRCAP,16805.0795077822
1998,NV_IND_MANF,PCT,10.1003687843625
1999,NV_IND_MANFPC,DKKPRCAP,18931.8772058334
1999,NV_IND_MANF,PCT,10.8414897673827
2000,NV_IND_MANFPC,DKKPRCAP,19860.2805322022
2000,NV_IND_MANF,PCT,10.5302819514005
2001,NV_IND_MANFPC,DKKPRCAP,23365.962156296
2001,NV_IND_MANF,PCT,11.2595400084915
2002,NV_IND_MANFPC,DKKPRCAP,23988.4973622168
2002,NV_IND_MANF,PCT,11.2700541399692
2003,NV_IND_MANFPC,DKKPRCAP,21788.4209867006
2003,NV_IND_MANF,PCT,10.5474869369233
2004,NV_IND_MANFPC,DKKPRCAP,20589.9735600601
2004,NV_IND_MANF,PCT,9.6088336623698
2005,NV_IND_MANFPC,DKKPRCAP,20052.2723972702
2005,NV_IND_MANF,PCT,9.1604283142234
2006,NV_IND_MANFPC,DKKPRCAP,22242.742420784
2006,NV_IND_MANF,PCT,8.9334677923442
2007,NV_IND_MANFPC,DKKPRCAP,23584.1143271372
2007,NV_IND_MANF,PCT,8.9429744991322
2008,NV_IND_MANFPC,DKKPRCAP,23242.9029894641
2008,NV_IND_MANF,PCT,8.8721176646683
2009,NV_IND_MANFPC,DKKPRCAP,21843.650221444
2009,NV_IND_MANF,PCT,8.61490466248
2010,NV_IND_MANFPC,DKKPRCAP,22185.9942012237
2010,NV_IND_MANF,PCT,8.1979838648183
2011,NV_IND_MANFPC,DKKPRCAP,22215.3215538925
2011,NV_IND_MANF,PCT,7.9768966593818
2012,NV_IND_MANFPC,DKKPRCAP,24185.0989522701
2012,NV_IND_MANF,PCT,8.2748319641524
2013,NV_IND_MANFPC,DKKPRCAP,24205.4247441551
2013,NV_IND_MANF,PCT,7.7022867922031
2014,NV_IND_MANFPC,DKKPRCAP,30725.9623835472
2014,NV_IND_MANF,PCT,9.084794678015
2015,NV_IND_MANFPC,DKKPRCAP,33048.4097167484
2015,NV_IND_MANF,PCT,9.3214760062366
2016,NV_IND_MANFPC,DKKPRCAP,31710.5236544568
2016,NV_IND_MANF,PCT,8.2785058770105
2017,NV_IND_MANFPC,DKKPRCAP,36255.174821686895
2017,NV_IND_MANF,PCT,9.2351476342938
2018,NV_IND_MANFPC,DKKPRCAP,35604.5338812265
2018,NV_IND_MANF,PCT,8.9938812404394
2019,NV_IND_MANFPC,DKKPRCAP,43897.8606469342
2019,NV_IND_MANF,PCT,10.4125258775413
2020,NV_IND_MANFPC,DKKPRCAP,44132.3322026146
2020,NV_IND_MANF,PCT,10.8515144699355
2021,NV_IND_MANFPC,DKKPRCAP,46547.9009283271
2021,NV_IND_MANF,PCT,10.7790320194258
2022,NV_IND_MANFPC,DKKPRCAP,48501.83269150471
2022,NV_IND_MANF,PCT,10.3861729651105
