Year,Series,source,Units,data.mainsource,Value
1991,SI_POV_NAHC,TOTAL,MIO_TON,,0.649634144481681
1992,SI_POV_NAHC,TOTAL,MIO_TON,,0.744483747398703
1993,SI_POV_NAHC,TOTAL,MIO_TON,,0.67218575402615
1994,SI_POV_NAHC,TOTAL,MIO_TON,,0.674637619839
1995,SI_POV_NAHC,TOTAL,MIO_TON,,0.6721524434764
1996,SI_POV_NAHC,TOTAL,MIO_TON,,0.7030326844335
1997,SI_POV_NAHC,TOTAL,MIO_TON,,0.69456920981705
1998,SI_POV_NAHC,TOTAL,MIO_TON,,0.71246999784605
1999,SI_POV_NAHC,TOTAL,MIO_TON,,0.751230389838801
2000,SI_POV_NAHC,TOTAL,MIO_TON,,0.80243466928115
2001,SI_POV_NAHC,TOTAL,MIO_TON,,0.9686409136
2002,SI_POV_NAHC,TOTAL,MIO_TON,,0.8679660099052
2003,SI_POV_NAHC,TOTAL,MIO_TON,,0.86260166043
2004,SI_POV_NAHC,TOTAL,MIO_TON,,0.873660853905
2005,SI_POV_NAHC,TOTAL,MIO_TON,,0.861135956725
2006,SI_POV_NAHC,TOTAL,MIO_TON,,0.8072381841
2007,SI_POV_NAHC,TOTAL,MIO_TON,,0.830285483365
2008,SI_POV_NAHC,TOTAL,MIO_TON,,0.761614112785
2009,SI_POV_NAHC,TOTAL,MIO_TON,,0.83575398112
2010,SI_POV_NAHC,TOTAL,MIO_TON,,0.8835445323
2011,SI_POV_NAHC,TOTAL,MIO_TON,,0.77399522424
2012,SI_POV_NAHC,TOTAL,MIO_TON,,0.870822707815
2013,SI_POV_NAHC,TOTAL,MIO_TON,,0.808483916232
2014,SI_POV_NAHC,TOTAL,MIO_TON,,0.849716660636
2015,SI_POV_NAHC,TOTAL,MIO_TON,,0.806052373556
2016,SI_POV_NAHC,TOTAL,MIO_TON,,0.83605807704
2017,SI_POV_NAHC,TOTAL,MIO_TON,,1.001444353881
2018,SI_POV_NAHC,TOTAL,MIO_TON,,1.107306905731
2019,SI_POV_NAHC,TOTAL,MIO_TON,,1.132443546626
2020,SI_POV_NAHC,TOTAL,MIO_TON,,1.1896239732705
2021,SI_POV_NAHC,TOTAL,MIO_TON,,1.211718906745
1990,SI_POV_NAHC,FUEL,MIO_TON,,0.668768428863456
1991,SI_POV_NAHC,FUEL,MIO_TON,,0.649500646113681
1992,SI_POV_NAHC,FUEL,MIO_TON,,0.639027662180703
1993,SI_POV_NAHC,FUEL,MIO_TON,,0.52929408321815
1994,SI_POV_NAHC,FUEL,MIO_TON,,0.534333646221
1995,SI_POV_NAHC,FUEL,MIO_TON,,0.5402720946784
1996,SI_POV_NAHC,FUEL,MIO_TON,,0.5605491678375
1997,SI_POV_NAHC,FUEL,MIO_TON,,0.55615165653305
1998,SI_POV_NAHC,FUEL,MIO_TON,,0.59983566158405
1999,SI_POV_NAHC,FUEL,MIO_TON,,0.629143491564801
2000,SI_POV_NAHC,FUEL,MIO_TON,,0.66579216419915
2001,SI_POV_NAHC,FUEL,MIO_TON,,0.839860745188
2002,SI_POV_NAHC,FUEL,MIO_TON,,0.7888216140052
2003,SI_POV_NAHC,FUEL,MIO_TON,,0.792799701734
2004,SI_POV_NAHC,FUEL,MIO_TON,,0.794639788581
2005,SI_POV_NAHC,FUEL,MIO_TON,,0.792993759811
2006,SI_POV_NAHC,FUEL,MIO_TON,,0.77987341884
2007,SI_POV_NAHC,FUEL,MIO_TON,,0.806591333089
2008,SI_POV_NAHC,FUEL,MIO_TON,,0.739940645677
2009,SI_POV_NAHC,FUEL,MIO_TON,,0.77145324394
2010,SI_POV_NAHC,FUEL,MIO_TON,,0.84746971989
2011,SI_POV_NAHC,FUEL,MIO_TON,,0.73008170643
2012,SI_POV_NAHC,FUEL,MIO_TON,,0.816465326155
2013,SI_POV_NAHC,FUEL,MIO_TON,,0.788829216612
2014,SI_POV_NAHC,FUEL,MIO_TON,,0.818944348526
2015,SI_POV_NAHC,FUEL,MIO_TON,,0.788962581566
2016,SI_POV_NAHC,FUEL,MIO_TON,,0.787743280707
2017,SI_POV_NAHC,FUEL,MIO_TON,,0.949482067611
2018,SI_POV_NAHC,FUEL,MIO_TON,,1.045891919731
2019,SI_POV_NAHC,FUEL,MIO_TON,,1.088968975166
2020,SI_POV_NAHC,FUEL,MIO_TON,,1.1279217339405
2021,SI_POV_NAHC,FUEL,MIO_TON,,1.130188369615
1990,SI_POV_NAHC,ENERGY,MIO_TON,,0.097196392675
1991,SI_POV_NAHC,ENERGY,MIO_TON,,0.093720118275
1992,SI_POV_NAHC,ENERGY,MIO_TON,,0.09330379587
1993,SI_POV_NAHC,ENERGY,MIO_TON,,0.08649468693
1994,SI_POV_NAHC,ENERGY,MIO_TON,,0.08234997124
1995,SI_POV_NAHC,ENERGY,MIO_TON,,0.079484259
1996,SI_POV_NAHC,ENERGY,MIO_TON,,0.09414801387
1997,SI_POV_NAHC,ENERGY,MIO_TON,,0.0881624934
1998,SI_POV_NAHC,ENERGY,MIO_TON,,0.09893784747
1999,SI_POV_NAHC,ENERGY,MIO_TON,,0.101023648755
2000,SI_POV_NAHC,ENERGY,MIO_TON,,0.119628294135
2001,SI_POV_NAHC,ENERGY,MIO_TON,,0.16376604616
2002,SI_POV_NAHC,ENERGY,MIO_TON,,0.1272060898152
2003,SI_POV_NAHC,ENERGY,MIO_TON,,0.133812020875
2004,SI_POV_NAHC,ENERGY,MIO_TON,,0.123183701805
2005,SI_POV_NAHC,ENERGY,MIO_TON,,0.11261801682
2006,SI_POV_NAHC,ENERGY,MIO_TON,,0.12235531907
2007,SI_POV_NAHC,ENERGY,MIO_TON,,0.12891307682
2008,SI_POV_NAHC,ENERGY,MIO_TON,,0.136896103115
2009,SI_POV_NAHC,ENERGY,MIO_TON,,0.131608640235
2010,SI_POV_NAHC,ENERGY,MIO_TON,,0.16400114503
2011,SI_POV_NAHC,ENERGY,MIO_TON,,0.1333468026
2012,SI_POV_NAHC,ENERGY,MIO_TON,,0.148784378609
2013,SI_POV_NAHC,ENERGY,MIO_TON,,0.13659414299
2014,SI_POV_NAHC,ENERGY,MIO_TON,,0.12454809929
2015,SI_POV_NAHC,ENERGY,MIO_TON,,0.102133592949
2016,SI_POV_NAHC,ENERGY,MIO_TON,,0.125549164776
2017,SI_POV_NAHC,ENERGY,MIO_TON,,0.1243864284385
2018,SI_POV_NAHC,ENERGY,MIO_TON,,0.136632088308
2019,SI_POV_NAHC,ENERGY,MIO_TON,,0.175797183088
2020,SI_POV_NAHC,ENERGY,MIO_TON,,0.1855299820295
