Year,Series,Units,Value
1998,NV_IND_TECH,PCT,2.32699175830545
1999,NV_IND_TECH,PCT,3.7998530260583
2000,NV_IND_TECH,PCT,5.36332621525315
2001,NV_IND_TECH,PCT,4.45293730114098
2002,NV_IND_TECH,PCT,5.14016447318537
2003,NV_IND_TECH,PCT,5.04575792428679
2004,NV_IND_TECH,PCT,4.47844646246213
2005,NV_IND_TECH,PCT,4.07879436719429
2006,NV_IND_TECH,PCT,3.78330991998406
2007,NV_IND_TECH,PCT,4.14659972318964
2008,NV_IND_TECH,PCT,4.00857027894358
2009,NV_IND_TECH,PCT,3.45976818303119
2010,NV_IND_TECH,PCT,2.510576143741
2011,NV_IND_TECH,PCT,2.23622389586501
2012,NV_IND_TECH,PCT,2.15978735117058
2013,NV_IND_TECH,PCT,2.04425922856031
2014,NV_IND_TECH,PCT,1.98471019419211
2015,NV_IND_TECH,PCT,1.90407229537808
2016,NV_IND_TECH,PCT,2.43932236847855
2017,NV_IND_TECH,PCT,2.11682862649783
2018,NV_IND_TECH,PCT,2.52266100145839
2019,NV_IND_TECH,PCT,2.015394746242
2020,NV_IND_TECH,PCT,2.64234739604957
2021,NV_IND_TECH,PCT,2.39381993036861
1998,,,2.3
1999,,,3.8
2000,,,5.4
2001,,,4.5
2002,,,5.1
2003,,,5.0
2004,,,4.5
2005,,,4.1
2006,,,3.8
2007,,,4.1
2008,,,4.0
2009,,,3.5
2010,,,2.5
2011,,,2.2
2012,,,2.2
2013,,,2.0
2014,,,2.0
2015,,,1.9
2016,,,2.4
2017,,,2.1
2018,,,2.5
2019,,,2.0
2020,,,2.6
2021,,,2.4
