Year,Units,Series,data.technology,Value
2015,PCT,IT_MOB_3GNTWK,,96.0
2015,PCT,IT_MOB_4GNTWK,,58.0
2016,PCT,IT_MOB_3GNTWK,,98.0
2016,PCT,IT_MOB_4GNTWK,,98.0
2017,PCT,IT_MOB_3GNTWK,,99.99
2017,PCT,IT_MOB_4GNTWK,,99.99
2018,PCT,IT_MOB_3GNTWK,,99.99
2018,PCT,IT_MOB_4GNTWK,,99.99
2019,PCT,IT_MOB_3GNTWK,,99.99
2019,PCT,IT_MOB_4GNTWK,,99.99
2020,PCT,IT_MOB_3GNTWK,,100.0
2020,PCT,IT_MOB_4GNTWK,,99.99
2021,PCT,IT_MOB_3GNTWK,,100.0
2021,PCT,IT_MOB_4GNTWK,,100.0
2015,,,data.3gmobntwk,96.0
2015,,,data.4gmobntwk,58.0
2016,,,data.3gmobntwk,98.0
2016,,,data.4gmobntwk,98.0
2017,,,data.3gmobntwk,100.0
2017,,,data.4gmobntwk,100.0
2018,,,data.3gmobntwk,100.0
2018,,,data.4gmobntwk,100.0
2019,,,data.3gmobntwk,100.0
2019,,,data.4gmobntwk,100.0
2020,,,data.3gmobntwk,100.0
2020,,,data.4gmobntwk,100.0
2021,,,data.3gmobntwk,100.0
2021,,,data.4gmobntwk,100.0
