Year,Series,region,sex,age,Units,GeoCode,Value
2009,SI_POV_NAHC,,,,PCT,TOTAL,4.0
2010,SI_POV_NAHC,,,,PCT,TOTAL,4.2
2011,SI_POV_NAHC,,,,PCT,TOTAL,4.4
2012,SI_POV_NAHC,,,,PCT,TOTAL,4.7
2013,SI_POV_NAHC,,,,PCT,TOTAL,3.8
2014,SI_POV_NAHC,,,,PCT,TOTAL,3.5
2015,SI_POV_NAHC,,,,PCT,TOTAL,3.4
2016,SI_POV_NAHC,,,,PCT,TOTAL,3.2
2017,SI_POV_NAHC,,,,PCT,TOTAL,3.0
2018,SI_POV_NAHC,,,,PCT,TOTAL,2.9
2019,SI_POV_NAHC,,,,PCT,TOTAL,2.6
2020,SI_POV_NAHC,,,,PCT,TOTAL,2.4
2021,SI_POV_NAHC,,,,PCT,TOTAL,2.6
2022,SI_POV_NAHC,,,,PCT,TOTAL,2.5
2009,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,5.1
2010,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,5.1
2011,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,5.5
2012,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,6.2
2013,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,5.2
2014,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,4.8
2015,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,4.5
2016,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,4.2
2017,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,3.8
2018,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,3.5
2019,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,3.4
2020,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,3.2
2021,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,3.4
2022,SI_POV_NAHC,,,Y0-17,PCT,TOTAL,3.2
2009,SI_POV_NAHC,,,Y18-24,PCT,TOTAL,3.8
2010,SI_POV_NAHC,,,Y18-24,PCT,TOTAL,4.4
2011,SI_POV_NAHC,,,Y18-24,PCT,TOTAL,5.4
