Year,Series,essential service,Units,Value
1998,TOT_GOV_SPEND,,PCT,57.9327368259905
1999,TOT_GOV_SPEND,,PCT,59.0791532602041
2000,TOT_GOV_SPEND,,PCT,57.4425414330342
2001,TOT_GOV_SPEND,,PCT,57.686316104582
2002,TOT_GOV_SPEND,,PCT,57.595412829352
2003,TOT_GOV_SPEND,,PCT,59.758717493869
2004,TOT_GOV_SPEND,,PCT,59.6353850736043
2005,TOT_GOV_SPEND,,PCT,61.0903106995563
2006,TOT_GOV_SPEND,,PCT,60.4749009823648
2007,TOT_GOV_SPEND,,PCT,61.983232652845
2008,TOT_GOV_SPEND,,PCT,62.6495998388496
2009,TOT_GOV_SPEND,,PCT,65.4307791615846
2010,TOT_GOV_SPEND,,PCT,67.4228703921674
2011,TOT_GOV_SPEND,,PCT,66.5579057067
2012,TOT_GOV_SPEND,,PCT,65.2055485230558
2013,TOT_GOV_SPEND,,PCT,64.1417331765973
2014,TOT_GOV_SPEND,,PCT,64.5460380147189
2015,TOT_GOV_SPEND,,PCT,63.8642966717478
2016,TOT_GOV_SPEND,,PCT,63.75930238174
2017,TOT_GOV_SPEND,,PCT,62.6383111632433
2018,TOT_GOV_SPEND,,PCT,61.0880099757715
2019,TOT_GOV_SPEND,,PCT,60.7495405493263
2020,TOT_GOV_SPEND,,PCT,61.6813480576337
2021,TOT_GOV_SPEND,,PCT,62.5078928869652
2022,TOT_GOV_SPEND,,PCT,61.9143356996597
2023,TOT_GOV_SPEND,,PCT,60.3946672935885
2024,TOT_GOV_SPEND,,PCT,61.311630741748
1998,TOT_GOV_SPEND,SD_XPD_ESED,PCT,11.8024752058968
1999,TOT_GOV_SPEND,SD_XPD_ESED,PCT,12.607620582103
2000,TOT_GOV_SPEND,SD_XPD_ESED,PCT,12.1729505562907
2001,TOT_GOV_SPEND,SD_XPD_ESED,PCT,12.9812148439067
2002,TOT_GOV_SPEND,SD_XPD_ESED,PCT,12.9765134865429
2003,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.0328980622702
2004,TOT_GOV_SPEND,SD_XPD_ESED,PCT,12.653351395308
2005,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.1896797560359
2006,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.0618962753835
2007,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.1126886860691
2008,TOT_GOV_SPEND,SD_XPD_ESED,PCT,12.7008909952622
2009,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.0951753024816
2010,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.1489354478668
2011,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.8441338461247
2012,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.6528097466331
2013,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.6556373514429
2014,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.3549529445527
2015,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.2423619464801
2016,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.1669157380705
2017,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.3385671534809
2018,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.0533754577402
2019,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.0968818510066
2020,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.2848550750465
2021,TOT_GOV_SPEND,SD_XPD_ESED,PCT,14.77723660904
2022,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.6301418195714
2023,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.2001255078773
2024,TOT_GOV_SPEND,SD_XPD_ESED,PCT,13.2644583361547
1998,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,12.4858215092456
1999,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.4158236209376
2000,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.2078020551192
2001,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.5111571508896
2002,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.1854027851923
2003,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.8211420791398
2004,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.8393092429009
2005,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.7878181877564
2006,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.4284066069211
2007,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.2057115550185
2008,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,17.4869830423715
2009,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.2848727755907
2010,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.4473684963043
2011,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,15.3296359524293
2012,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.4542077760391
2013,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,15.4890607413413
2014,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.5589645648069
2015,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,15.8056188674361
2016,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.0588003197375
2017,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.2481495202188
2018,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,16.218989346959
2019,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.5454753347564
2020,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,14.3891745482658
2021,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.0822913009644
2022,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.1183597497326
2023,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.263170982572
2024,TOT_GOV_SPEND,SG_XPD_HLTH,PCT,13.3979681950728
1998,TOT_GOV_SPEND,SG_XPD_PROT,PCT,33.644440110848
1999,TOT_GOV_SPEND,SG_XPD_PROT,PCT,33.0557090571634
2000,TOT_GOV_SPEND,SG_XPD_PROT,PCT,32.0617888216242
