Year,sex,age,Series,Units,Value
2009,,,SI_POV_50MI,PCT,3.8
2010,,,SI_POV_50MI,PCT,3.6
2011,,,SI_POV_50MI,PCT,3.9
2012,,,SI_POV_50MI,PCT,4.2
2013,,,SI_POV_50MI,PCT,4.2
2014,,,SI_POV_50MI,PCT,4.0
2015,,,SI_POV_50MI,PCT,3.8
2016,,,SI_POV_50MI,PCT,3.4
2017,,,SI_POV_50MI,PCT,3.3
2018,,,SI_POV_50MI,PCT,3.0
2019,,,SI_POV_50MI,PCT,2.7
2020,,,SI_POV_50MI,PCT,2.4
2021,,,SI_POV_50MI,PCT,2.7
2009,,Y0-17,SI_POV_50MI,PCT,4.7
2010,,Y0-17,SI_POV_50MI,PCT,4.7
2011,,Y0-17,SI_POV_50MI,PCT,5.2
2012,,Y0-17,SI_POV_50MI,PCT,5.5
2013,,Y0-17,SI_POV_50MI,PCT,5.8
2014,,Y0-17,SI_POV_50MI,PCT,5.3
2015,,Y0-17,SI_POV_50MI,PCT,5.0
2016,,Y0-17,SI_POV_50MI,PCT,4.6
2017,,Y0-17,SI_POV_50MI,PCT,4.2
2018,,Y0-17,SI_POV_50MI,PCT,3.7
2019,,Y0-17,SI_POV_50MI,PCT,3.6
2020,,Y0-17,SI_POV_50MI,PCT,3.4
2021,,Y0-17,SI_POV_50MI,PCT,3.5
2009,,Y18-24,SI_POV_50MI,PCT,4.7
2010,,Y18-24,SI_POV_50MI,PCT,4.4
2011,,Y18-24,SI_POV_50MI,PCT,5.5
2012,,Y18-24,SI_POV_50MI,PCT,6.0
2013,,Y18-24,SI_POV_50MI,PCT,5.6
2014,,Y18-24,SI_POV_50MI,PCT,6.0
2015,,Y18-24,SI_POV_50MI,PCT,5.5
2016,,Y18-24,SI_POV_50MI,PCT,4.5
2017,,Y18-24,SI_POV_50MI,PCT,3.7
2018,,Y18-24,SI_POV_50MI,PCT,3.9
2019,,Y18-24,SI_POV_50MI,PCT,3.4
2020,,Y18-24,SI_POV_50MI,PCT,2.9
2021,,Y18-24,SI_POV_50MI,PCT,3.5
2009,,Y25-54,SI_POV_50MI,PCT,3.4
2010,,Y25-54,SI_POV_50MI,PCT,3.3
2011,,Y25-54,SI_POV_50MI,PCT,3.6
2012,,Y25-54,SI_POV_50MI,PCT,3.7
2013,,Y25-54,SI_POV_50MI,PCT,3.8
2014,,Y25-54,SI_POV_50MI,PCT,3.6
2015,,Y25-54,SI_POV_50MI,PCT,3.6
2016,,Y25-54,SI_POV_50MI,PCT,3.2
2017,,Y25-54,SI_POV_50MI,PCT,3.1
2018,,Y25-54,SI_POV_50MI,PCT,2.9
2019,,Y25-54,SI_POV_50MI,PCT,2.7
2020,,Y25-54,SI_POV_50MI,PCT,2.3
2021,,Y25-54,SI_POV_50MI,PCT,2.8
2009,,Y55-66,SI_POV_50MI,PCT,3.8
2010,,Y55-66,SI_POV_50MI,PCT,3.3
2011,,Y55-66,SI_POV_50MI,PCT,3.2
2012,,Y55-66,SI_POV_50MI,PCT,3.3
2013,,Y55-66,SI_POV_50MI,PCT,3.2
2014,,Y55-66,SI_POV_50MI,PCT,3.2
2015,,Y55-66,SI_POV_50MI,PCT,3.0
2016,,Y55-66,SI_POV_50MI,PCT,2.7
2017,,Y55-66,SI_POV_50MI,PCT,2.6
2018,,Y55-66,SI_POV_50MI,PCT,2.1
2019,,Y55-66,SI_POV_50MI,PCT,2.1
2020,,Y55-66,SI_POV_50MI,PCT,1.9
2021,,Y55-66,SI_POV_50MI,PCT,2.1
2009,,Y_GE67,SI_POV_50MI,PCT,2.5
2010,,Y_GE67,SI_POV_50MI,PCT,2.2
2011,,Y_GE67,SI_POV_50MI,PCT,2.1
2012,,Y_GE67,SI_POV_50MI,PCT,2.4
2013,,Y_GE67,SI_POV_50MI,PCT,2.1
2014,,Y_GE67,SI_POV_50MI,PCT,2.3
2015,,Y_GE67,SI_POV_50MI,PCT,2.1
2016,,Y_GE67,SI_POV_50MI,PCT,1.8
2017,,Y_GE67,SI_POV_50MI,PCT,2.5
2018,,Y_GE67,SI_POV_50MI,PCT,2.4
2019,,Y_GE67,SI_POV_50MI,PCT,1.6
2020,,Y_GE67,SI_POV_50MI,PCT,1.4
2021,,Y_GE67,SI_POV_50MI,PCT,1.1
2009,M,,SI_POV_50MI,PCT,3.7
2010,M,,SI_POV_50MI,PCT,3.5
2011,M,,SI_POV_50MI,PCT,3.7
2012,M,,SI_POV_50MI,PCT,4.0
2013,M,,SI_POV_50MI,PCT,3.8
2014,M,,SI_POV_50MI,PCT,3.7
2015,M,,SI_POV_50MI,PCT,3.6
2016,M,,SI_POV_50MI,PCT,3.2
2017,M,,SI_POV_50MI,PCT,3.1
2018,M,,SI_POV_50MI,PCT,2.8
2019,M,,SI_POV_50MI,PCT,2.4
2020,M,,SI_POV_50MI,PCT,2.2
2021,M,,SI_POV_50MI,PCT,2.6
2009,M,Y0-17,SI_POV_50MI,PCT,4.6
2010,M,Y0-17,SI_POV_50MI,PCT,4.4
2011,M,Y0-17,SI_POV_50MI,PCT,4.9
2012,M,Y0-17,SI_POV_50MI,PCT,5.6
2013,M,Y0-17,SI_POV_50MI,PCT,5.5
2014,M,Y0-17,SI_POV_50MI,PCT,5.0
2015,M,Y0-17,SI_POV_50MI,PCT,4.7
2016,M,Y0-17,SI_POV_50MI,PCT,4.6
2017,M,Y0-17,SI_POV_50MI,PCT,4.1
2018,M,Y0-17,SI_POV_50MI,PCT,3.8
2019,M,Y0-17,SI_POV_50MI,PCT,3.1
2020,M,Y0-17,SI_POV_50MI,PCT,3.1
2021,M,Y0-17,SI_POV_50MI,PCT,3.3
2009,M,Y18-24,SI_POV_50MI,PCT,3.3
2010,M,Y18-24,SI_POV_50MI,PCT,3.1
2011,M,Y18-24,SI_POV_50MI,PCT,3.8
2012,M,Y18-24,SI_POV_50MI,PCT,4.4
2013,M,Y18-24,SI_POV_50MI,PCT,4.1
2014,M,Y18-24,SI_POV_50MI,PCT,4.7
2015,M,Y18-24,SI_POV_50MI,PCT,4.6
2016,M,Y18-24,SI_POV_50MI,PCT,3.2
2017,M,Y18-24,SI_POV_50MI,PCT,2.4
2018,M,Y18-24,SI_POV_50MI,PCT,2.7
2019,M,Y18-24,SI_POV_50MI,PCT,2.6
2020,M,Y18-24,SI_POV_50MI,PCT,1.9
2021,M,Y18-24,SI_POV_50MI,PCT,2.7
2009,M,Y25-54,SI_POV_50MI,PCT,3.3
2010,M,Y25-54,SI_POV_50MI,PCT,3.2
2011,M,Y25-54,SI_POV_50MI,PCT,3.4
2012,M,Y25-54,SI_POV_50MI,PCT,3.5
2013,M,Y25-54,SI_POV_50MI,PCT,3.3
2014,M,Y25-54,SI_POV_50MI,PCT,3.1
2015,M,Y25-54,SI_POV_50MI,PCT,3.2
2016,M,Y25-54,SI_POV_50MI,PCT,2.9
2017,M,Y25-54,SI_POV_50MI,PCT,2.9
2018,M,Y25-54,SI_POV_50MI,PCT,2.7
2019,M,Y25-54,SI_POV_50MI,PCT,2.3
2020,M,Y25-54,SI_POV_50MI,PCT,2.0
2021,M,Y25-54,SI_POV_50MI,PCT,2.7
2009,M,Y55-66,SI_POV_50MI,PCT,4.3
2010,M,Y55-66,SI_POV_50MI,PCT,3.8
2011,M,Y55-66,SI_POV_50MI,PCT,3.6
2012,M,Y55-66,SI_POV_50MI,PCT,3.8
2013,M,Y55-66,SI_POV_50MI,PCT,3.6
2014,M,Y55-66,SI_POV_50MI,PCT,3.7
