Year,Units,Series,Size of particulate4 matter,Value
2014,MICROGR,RURAL_1,EN:ATM_PM10,7.8
2014,MICROGR,RURAL_1,EN_ATM_PM25,4.82
2014,MICROGR,URBAN_1,EN:ATM_PM10,11.8
2014,MICROGR,URBAN_1,EN_ATM_PM25,6.36
2015,MICROGR,RURAL_1,EN:ATM_PM10,7.59
2015,MICROGR,RURAL_1,EN_ATM_PM25,4.49
2015,MICROGR,URBAN_1,EN:ATM_PM10,11.0
2015,MICROGR,URBAN_1,EN_ATM_PM25,5.61
2016,MICROGR,RURAL_1,EN:ATM_PM10,7.13
2016,MICROGR,RURAL_1,EN_ATM_PM25,4.13
2016,MICROGR,URBAN_1,EN:ATM_PM10,10.1
2016,MICROGR,URBAN_1,EN_ATM_PM25,4.96
2017,MICROGR,RURAL_1,EN:ATM_PM10,8.08
2017,MICROGR,RURAL_1,EN_ATM_PM25,4.7
2017,MICROGR,URBAN_1,EN:ATM_PM10,11.1
2017,MICROGR,URBAN_1,EN_ATM_PM25,5.63
2018,MICROGR,RURAL_1,EN:ATM_PM10,8.81
2018,MICROGR,RURAL_1,EN_ATM_PM25,4.99
2018,MICROGR,URBAN_1,EN:ATM_PM10,12.5
2018,MICROGR,URBAN_1,EN_ATM_PM25,6.28
2019,MICROGR,RURAL_1,EN:ATM_PM10,7.34
2019,MICROGR,RURAL_1,EN_ATM_PM25,4.14
2019,MICROGR,URBAN_1,EN:ATM_PM10,11.4
2019,MICROGR,URBAN_1,EN_ATM_PM25,5.72
2019,MICROGR,RURAL_2,EN:ATM_PM10,8.44
2019,MICROGR,RURAL_2,EN_ATM_PM25,4.53
2020,MICROGR,RURAL_1,EN:ATM_PM10,8.79
2020,MICROGR,RURAL_1,EN_ATM_PM25,4.67
2020,MICROGR,RURAL_2,EN:ATM_PM10,8.65
2020,MICROGR,RURAL_2,EN_ATM_PM25,4.57
2021,MICROGR,RURAL_1,EN:ATM_PM10,7.34
2021,MICROGR,RURAL_1,EN_ATM_PM25,4.21
2021,MICROGR,RURAL_2,EN:ATM_PM10,8.07
2021,MICROGR,RURAL_2,EN_ATM_PM25,4.35
